 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2011-2014
"Município";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"Total"
"110010 Guajará-Mirim";-;1280,00;845,00;61195,77;63721,34;91061,19;116014,58;130916,69;140251,29;921849,69;88473,34;115901,41;91510,80;91374,33;93561,71;97974,45;81943,00;113804,97;94795,37;151237,59;148612,15;149093,89;144283,47;130167,80;138725,52;131221,64;130146,25;109616,76;112264,61;128956,66;111581,15;130703,28;134236,39;127486,10;135914,81;133209,45;156502,62;152022,32;113405,30;121545,76;90852,05;128639,70;118441,49;112970,97;113568,36;120793,35;117435,48;127845,08;134690,31;155839,12;144377,55;6552861,91
"110110 Itapuã do Oeste";-;-;-;10617,90;13404,14;13519,96;15575,16;24406,11;26218,46;17794,79;18357,50;14707,90;13772,10;9274,66;9111,57;8012,96;9319,00;10457,96;11588,16;11660,54;19773,54;16848,47;17234,06;17113,20;15861,02;15607,40;15033,36;11170,59;13348,92;11696,90;13469,50;16320,21;14475,30;19286,64;24771,34;23737,81;27038,02;31317,27;10920,74;18220,22;24346,99;16216,56;26189,17;17367,20;21887,24;27382,79;30680,26;20847,19;17628,07;29493,76;33297,26;856379,87
"110011 Jaru";-;-;-;135206,99;129354,92;121762,02;167219,63;159881,01;163507,76;155836,94;139700,05;156612,78;150874,19;128930,39;119283,96;113155,21;120253,46;170665,81;178278,48;200115,16;186293,93;232224,62;171203,60;131945,23;160505,61;152768,83;198430,50;179951,95;161111,34;142657,84;167403,61;160201,27;172866,19;202235,11;202537,52;192554,90;223256,70;216685,62;229672,44;170354,79;166199,06;165174,13;183737,47;195285,74;210191,41;223392,73;224222,57;181934,91;188263,81;165581,47;182285,77;8251769,43
"110012 Ji-Paraná";-;552,00;3330,94;367425,22;345314,29;476861,13;364010,12;338610,11;401665,31;387319,21;281436,27;294094,31;314636,65;283083,88;326612,78;312528,83;325597,06;456199,28;443800,43;514676,55;457761,61;480597,81;509124,99;345291,25;393576,06;386704,37;584344,40;535861,34;478131,58;568427,90;433553,87;419029,84;485890,92;583798,05;598530,30;645650,52;713972,60;612640,69;643719,41;497029,94;464162,43;619079,23;558768,64;604000,37;629901,11;622331,74;604452,19;548591,03;566956,20;526913,05;604132,02;22960679,83
"110013 Machadinho D'Oeste";-;-;-;45770,08;44470,39;64850,68;55889,36;54528,49;36302,00;49867,57;45779,30;50248,15;40608,28;45239,96;34013,76;33826,61;25994,32;42867,20;41162,77;54928,26;39201,62;62239,70;54352,88;50230,44;36164,32;54755,88;59849,90;38887,90;25069,02;47425,16;49854,14;50200,03;42591,24;53196,21;54490,62;60800,61;57822,01;96174,58;81141,21;69045,55;72108,59;64178,63;63765,08;63289,83;83576,95;60256,02;54724,69;59298,61;45600,26;60559,69;79611,13;2556809,68
"110120 Ministro Andreazza";-;160,00;-;17859,99;29207,63;23393,00;12190,50;21253,55;19349,63;19576,89;16417,42;12889,31;14719,65;12543,89;12728,01;14818,71;16932,55;18243,11;29342,84;34731,72;24540,47;32866,18;35119,40;34652,85;31652,30;24739,79;35689,84;25842,70;36573,74;33923,20;17520,10;23932,15;34638,82;24278,73;33364,78;34991,19;26243,61;28367,87;34162,36;31330,91;22424,91;22404,77;19619,15;30962,64;47944,01;27858,77;34128,05;33793,64;45326,20;34618,05;27858,98;1277728,56
"110130 Mirante da Serra";-;-;320,00;12277,19;10607,33;12463,32;21865,37;29224,74;25348,16;35816,83;38867,38;42678,52;24570,35;24122,87;28784,79;22516,81;19140,08;33533,33;28176,60;42450,47;28881,52;52685,86;27713,87;26516,01;29290,26;20419,41;15148,87;28119,18;14639,09;23306,73;30538,02;29792,43;17708,10;37842,45;28034,40;50203,72;27524,63;30809,00;49353,94;33623,02;30651,82;28999,31;29948,16;29377,08;37203,21;31662,98;36627,79;48499,91;32851,27;31827,08;39474,28;1432037,54
"110140 Monte Negro";-;-;513,34;22988,32;25549,25;26973,06;27079,53;21927,65;35715,64;34514,24;29507,53;32719,40;24342,46;19232,65;26994,41;29856,63;18410,72;33676,06;46487,80;40210,31;36109,51;47047,24;59191,43;41050,10;49525,40;38411,89;40277,99;43497,79;31925,98;37288,34;42823,83;38814,91;54398,62;42723,55;34490,27;51013,54;56986,79;46255,99;36543,74;46335,44;35109,45;27634,98;36448,40;49381,70;53604,91;30009,66;55538,93;44618,31;31662,35;44967,08;24844,69;1805231,81
"110014 Nova Brasilândia D'Oeste";-;-;-;22257,03;32150,97;31823,14;38625,05;32891,20;41599,98;43001,42;30319,29;32863,88;31322,77;26865,31;25822,11;26657,46;27284,51;31348,31;41099,16;46691,39;32495,45;44879,74;43769,79;33644,19;44123,63;50108,95;62071,18;44502,17;60200,45;54772,78;45452,71;52546,39;37221,24;52042,13;51443,04;35822,76;52355,89;45262,86;48677,79;28491,33;33899,29;29166,93;35718,96;53117,26;40243,33;37346,18;42773,11;47929,68;61691,84;44397,21;82465,92;1991257,16
"110033 Nova Mamoré";-;-;-;26561,08;38410,67;53657,18;46757,58;80485,33;509312,07;126651,81;51000,76;33399,46;50735,94;41121,09;57943,56;40140,53;43598,63;46225,07;54657,44;52057,01;56473,45;58890,91;53298,65;32603,51;38343,09;51848,92;63763,78;35454,11;44140,99;31751,51;54919,19;50074,89;49796,16;46082,24;44886,94;50965,55;56923,62;77513,55;50202,83;63589,06;47656,26;42395,52;42723,45;40611,84;42840,45;44271,90;48348,34;39432,95;44106,99;40063,23;23105,95;2819795,04
