 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"316350 São José do Jacuri";-;-;6,97;11431,03;8760,90;18275,87;13757,22;9772,62;12654,93;11095,61;22300,72;14784,07;13752,79;10861,75;13788,05;13648,79;11600,91;11125,36;13094,54;14601,10;14208,57;9210,78;8409,66;8661,68;8919,89;10058,44;15863,41;10949,69;10146,17;10166,56;10585,32;11142,82;9003,20;8037,23;24366,89;15776,32;14907,46;11338,50;11990,31;449056,13
"316360 São José do Mantimento";-;-;6,97;7553,30;7482,64;7915,44;8728,78;3248,41;2655,29;3800,81;5916,62;3595,05;4166,83;3786,00;6065,48;2948,97;5011,64;2765,26;4383,41;3485,82;8983,12;6558,39;5456,29;7328,86;8855,92;5788,77;4626,93;3888,84;3039,90;3419,59;5536,62;9897,04;10510,42;6759,67;8933,58;10598,40;13925,82;13399,20;9600,28;230624,36
"316370 São Lourenço";27,50;1732,04;5744,01;246811,09;236568,06;264958,68;266905,64;249567,01;240608,63;245024,45;225663,59;248976,82;281870,30;252477,49;249546,91;245302,03;253837,45;265734,67;250765,51;253330,58;312664,82;286141,78;296948,74;270612,47;261206,03;266625,14;302108,03;326972,69;256218,67;303415,11;266106,44;286823,34;272189,54;254502,73;260750,89;225091,50;221276,50;234053,57;211281,60;9400442,05
"316380 São Miguel do Anta";90,00;-;209,38;45935,72;49133,24;53579,30;45147,65;47729,49;46955,62;42559,75;43743,49;39823,80;45594,51;51568,26;47798,08;37975,57;43435,55;40153,29;50067,03;40128,68;43721,29;51200,64;48946,11;41890,46;52042,76;49614,83;46751,10;43167,63;38028,52;40188,63;46049,89;48771,37;43659,97;45569,47;51676,96;52176,99;44605,25;38956,81;30529,90;1629176,99
"316390 São Pedro da União";-;-;97,44;15085,78;23675,67;27780,01;21781,32;30231,10;54309,97;23696,59;23066,95;32785,59;26341,72;33333,53;29008,55;31878,28;25170,19;44912,55;27273,92;31274,83;31713,31;27048,76;38789,06;18268,94;17318,88;16468,87;15060,75;14987,09;22620,01;34595,30;17219,63;19145,59;20014,42;23890,91;23927,98;23489,58;33079,71;24782,75;23084,52;947210,05
"316410 São Pedro do Suaçuí";-;9,30;273,22;20428,72;17340,81;9001,04;11159,34;9126,79;13192,87;11312,67;13265,94;10649,22;17408,67;16071,80;12447,45;11085,83;14728,46;11542,89;11059,08;12418,08;11138,20;11551,55;14908,35;13282,52;12716,45;11944,20;11926,01;14303,86;11405,24;14903,54;6928,28;10660,10;10902,89;8714,90;9849,59;22321,29;7765,39;5644,75;7136,81;440526,10
"316400 São Pedro dos Ferros";-;-;1112,76;33687,07;30334,40;32842,25;31754,23;38493,43;38892,54;31615,79;38895,08;46220,43;40999,40;43704,71;38314,46;37925,65;36346,41;51066,12;41738,74;47589,54;44673,07;43610,51;45221,97;38808,61;39549,62;30551,73;30470,52;35883,26;37049,09;45431,58;41549,47;41599,84;43802,99;40982,61;37549,13;38665,36;30658,85;33897,45;22063,87;1383552,54
"316420 São Romão";-;-;69,70;21946,86;24999,67;28023,84;25532,39;26558,52;36125,45;30717,80;29466,29;29520,22;28080,76;25895,03;33452,30;30429,98;24025,43;28396,76;31240,27;23420,50;33727,34;33090,21;26119,55;30545,81;33317,69;25136,83;31176,27;30587,60;28491,44;34176,62;32206,42;31786,66;33331,51;39203,54;40875,59;24871,43;33750,17;42328,99;31700,53;1094325,97
"316430 São Roque de Minas";-;-;1201,33;28548,66;29568,97;39198,49;31753,26;24968,30;21393,78;22072,19;22092,37;16650,55;18809,08;22263,68;19117,59;18425,22;19903,87;28142,90;22211,79;22120,27;21447,33;21393,52;22582,39;28188,53;37687,72;29075,73;28568,40;32363,56;26755,67;35837,13;22858,87;26555,17;22462,32;25084,42;23805,98;23114,62;18101,12;19845,18;22989,52;897159,48
"316440 São Sebastião da Bela Vista";-;159,52;153,91;31703,41;19272,53;18480,77;20571,97;15076,72;12947,43;11013,01;12868,72;17613,85;13117,66;16026,89;17817,41;15321,16;18148,54;18571,29;16183,08;23159,02;19741,05;20355,18;15081,47;20085,36;24764,91;22525,44;21035,64;20124,70;16529,04;17999,30;15949,38;24937,89;19673,78;14619,92;20219,48;17745,45;17234,48;17820,60;16773,03;661422,99
"316443 São Sebastião da Vargem Alegre";-;-;-;11450,55;12258,72;11734,07;15421,97;13766,92;17486,30;21979,40;10970,65;7712,58;11353,39;10659,29;9410,66;10181,77;12389,22;12436,68;7654,82;8817,27;5494,14;6290,59;4151,23;4598,58;3477,01;6332,44;10872,74;10280,48;11072,70;9190,90;10058,76;12684,42;8405,04;19131,51;17561,57;17482,41;15656,56;16356,31;15891,47;410673,12
"316447 São Sebastião do Anta";225,10;-;45,00;26749,09;24483,00;23211,22;18931,77;14080,49;16631,42;20173,56;20013,93;24840,43;22498,42;22228,95;25770,43;23484,29;24259,12;29891,09;26384,03;24116,69;27603,04;29269,55;27022,32;25818,61;28274,38;19716,31;21152,85;22811,06;24079,00;29741,27;26448,60;30508,18;25399,36;25178,64;25431,75;24130,85;29575,26;26036,97;31770,22;887986,25
"316450 São Sebastião do Maranhão";-;-;361,06;19839,05;14380,86;14951,41;20303,31;19628,38;20649,18;19077,14;20856,51;40675,41;28757,35;22884,30;17510,51;18547,23;17506,41;32045,29;24282,62;20234,77;21175,06;24120,11;23364,18;24340,74;20751,97;19092,95;16082,98;16780,31;17560,48;22552,23;17182,03;17619,81;23093,65;45681,04;17082,30;15340,42;17175,43;11829,40;11191,09;754506,97
"316460 São Sebastião do Oeste";243,76;254,26;117,05;19241,79;21983,29;22046,45;19499,98;24064,28;25425,72;20547,68;26701,30;18377,03;25248,69;27990,39;25695,32;21107,32;27350,30;17828,86;16994,46;18963,78;18935,98;17109,98;18599,44;22917,84;31041,98;35157,58;30189,28;36020,52;39614,49;44423,38;42693,94;42891,22;36409,22;35430,86;41025,68;31635,21;31405,71;43659,75;27671,14;1006514,91
"316470 São Sebastião do Paraíso";-;4653,35;14810,89;427018,97;443748,73;471733,34;446444,19;476221,90;536639,50;525503,49;526821,30;556348,93;512060,12;473793,29;412593,09;361011,22;425384,56;444716,99;432145,15;425413,21;455488,47;368858,35;485097,40;415418,72;453735,77;425940,00;411203,29;407902,61;449314,91;476326,20;446348,10;483453,44;467225,19;459882,60;476122,46;446353,06;498686,20;495720,82;496225,53;16536365,34
"316480 São Sebastião do Rio Preto";-;-;-;7606,85;7696,43;9273,63;7561,08;6960,41;7890,73;8064,25;7872,10;6817,06;7767,79;8972,63;9157,78;4849,68;8688,11;12038,14;10073,57;8889,15;5853,18;4629,50;3621,15;3826,57;6166,70;5709,93;9916,77;13412,15;15519,01;13391,49;9538,02;11677,22;13573,75;7274,00;8349,19;11330,07;14650,96;13156,38;11508,98;323284,41
"316490 São Sebastião do Rio Verde";-;97,44;742,50;9003,62;8570,08;9687,74;14454,00;13371,35;16269,72;17564,85;20283,03;15757,78;9253,41;8428,34;8662,06;7115,52;9520,78;9846,91;8655,06;8686,64;16061,18;6965,55;11073,70;7963,37;10468,79;12431,59;10888,22;11143,23;11635,58;9568,34;10755,30;15562,51;11010,98;11504,67;14360,08;11393,84;8575,40;9837,47;11587,51;408758,14
"316520 São Thomé das Letras";-;-;3,37;27510,08;28168,18;31591,53;17826,74;16656,11;17403,89;22560,42;20877,78;16065,05;28582,21;23742,70;20498,70;27151,20;19031,59;21841,96;28630,38;24041,97;22340,92;26179,09;28706,26;34601,31;32610,68;22473,95;24022,29;40480,57;31405,19;31329,70;26981,48;28969,60;26677,76;27203,23;28354,47;29829,06;26474,79;24474,06;27519,77;932818,04
"316500 São Tiago";115,78;411,00;1748,92;25211,30;21138,59;31223,70;32090,51;36167,23;34808,77;32405,80;31345,94;25724,87;26692,74;28518,66;24434,31;29807,75;36948,67;34313,08;37859,83;37365,85;28255,53;26758,26;33035,09;20629,44;27663,04;27243,64;20552,28;21178,03;25099,33;33079,57;30719,09;34085,36;34516,41;34225,31;39305,11;31150,43;29235,23;36178,72;30650,65;1091893,82
"316510 São Tomás de Aquino";-;-;402,50;38254,54;42436,62;49195,40;53983,48;53051,72;54193,00;37534,51;51923,86;53886,68;41714,32;56864,20;54288,79;49463,21;39917,37;54567,49;59505,70;63690,59;57009,23;51843,90;56633,59;58832,93;55672,88;54852,41;50419,99;53715,73;59920,63;66038,64;65324,29;65919,78;69294,45;65166,60;54847,83;62948,41;60394,87;58948,68;55274,54;1977933,36
"316530 São Vicente de Minas";-;-;25,83;75273,87;72820,23;76612,49;77850,36;83937,37;28414,78;32319,70;32938,31;92169,35;88422,78;91012,27;92017,18;86194,61;90899,38;87492,17;75055,44;69923,16;68561,70;66361,46;70994,67;66016,07;62902,12;69296,97;63695,41;65384,64;66552,26;71982,76;66207,74;71804,41;71611,93;75940,92;83761,83;73899,51;74617,12;70598,68;60936,36;2574505,84
"316540 Sapucaí-Mirim";-;-;-;15887,72;17596,58;19046,51;17685,46;18322,81;21397,22;22579,10;23313,04;18301,99;23794,51;16178,50;24779,30;24935,65;22682,92;24201,44;19738,84;19481,76;20476,12;20959,14;19533,60;26623,67;24739,83;28097,73;30458,69;31391,52;23459,78;20612,35;21613,74;30725,40;27597,71;27373,58;22058,10;18041,68;19174,08;17966,88;20153,65;800980,60
"316550 Sardoá";-;3993,00;3806,83;16930,78;20381,88;25872,23;21525,31;22696,68;15516,79;18036,24;16385,19;15931,30;18769,61;20299,57;13721,67;24787,31;20287,98;18355,57;13606,36;22938,34;19827,74;11513,11;14704,17;16717,90;12413,29;12605,22;5994,98;8681,32;6347,74;11032,99;10771,18;12594,94;13488,04;16345,40;17609,37;15372,86;17761,47;14971,69;14764,71;587360,76
"316553 Sarzedo";1743,74;6298,62;11236,07;128598,87;112167,07;201947,69;167301,02;147745,87;140915,46;143715,60;133856,29;133089,17;116912,70;120569,93;133412,67;113070,45;153045,92;133458,19;149035,07;158272,66;125025,47;145609,80;158370,39;154906,54;144207,61;135809,54;133878,16;143802,04;127104,41;136890,22;163333,29;199528,46;173709,81;156813,97;166700,20;154278,89;169769,01;167917,53;172646,73;5336695,13
"316556 Sem-Peixe";-;283,76;389,48;9771,02;12537,01;17990,59;14569,58;7896,44;11777,54;17594,08;16248,88;20517,54;20413,69;19744,15;16296,35;17623,97;15482,78;19206,04;23426,42;23193,88;17890,99;14602,95;16388,91;15423,02;14508,36;18831,98;11312,23;20767,75;20843,14;18647,63;20523,15;23740,99;18968,78;16970,23;11804,80;23220,29;19166,79;12561,56;14101,54;615238,29
"316557 Senador Amaral";-;136,41;-;13257,37;18129,27;19871,94;18065,25;11007,48;12732,37;12447,81;19938,64;10971,24;11229,86;23542,07;9255,05;8899,73;10050,42;9849,79;13159,36;11585,28;12024,35;15385,47;14309,72;11481,27;14137,73;11429,31;13670,00;19725,27;24078,51;25444,78;20843,12;18375,68;27284,19;21325,13;21876,01;28561,57;21103,11;18091,41;24626,49;597902,46
"316560 Senador Cortes";-;-;79,34;6107,16;6960,00;6332,06;5758,97;8107,10;7100,98;8217,42;6810,05;9739,24;14803,54;10123,63;12054,70;6756,09;4372,48;4155,79;4037,99;1916,22;7298,57;1766,02;2329,68;3895,86;5639,50;5214,72;2642,68;5161,02;5118,48;5823,34;5911,03;6065,06;6556,22;5600,75;5622,86;3935,96;5614,13;4833,15;4025,47;216487,26
"316570 Senador Firmino";-;6,97;6464,46;38217,48;52946,10;44362,67;50944,53;54072,80;34528,85;31843,69;46703,22;36589,45;34246,75;47972,42;37644,39;29557,49;30910,00;26466,54;21960,21;35280,67;29815,64;24068,52;22786,45;27885,38;36694,41;23702,80;23499,01;24906,43;25968,64;36806,29;29328,32;29326,54;36472,88;26060,60;22005,38;37233,46;23929,14;23807,76;29169,27;1194185,61
"316580 Senador José Bento";-;-;-;12391,77;9463,71;11894,49;16721,91;15385,90;16202,52;16403,63;12956,99;7139,02;11690,93;15094,20;11309,28;12160,37;12266,53;12841,31;12191,93;13428,15;12794,42;13529,30;14784,33;14261,99;11938,85;12273,03;13383,22;16397,58;15123,55;22653,47;19957,60;24958,62;23462,30;22580,79;22897,81;20756,66;21677,24;24593,85;14893,72;562460,97
"316590 Senador Modestino Gonçalves";-;-;155,78;14024,58;10508,39;20029,25;13967,92;16446,28;15120,53;14362,66;12682,44;13902,41;12546,94;12944,84;22885,66;14785,50;14752,62;16870,56;15367,52;18413,68;10748,38;15163,48;15854,93;28374,10;19664,33;13219,36;15397,05;21411,19;17017,05;16755,28;17833,59;24183,15;25457,23;22460,38;21270,48;27758,04;28093,37;24816,60;23884,39;649129,94
"316600 Senhora de Oliveira";-;-;7331,20;7568,74;10917,66;11354,49;11096,87;8912,71;8421,66;9204,52;6285,72;13764,28;12497,04;16152,07;16436,10;13276,66;18858,04;21611,35;14599,97;12609,33;16919,76;26563,98;19360,06;16275,47;16122,70;12224,52;9149,06;12050,29;17467,43;18724,09;6554,21;8367,25;14277,91;13676,52;14093,34;12552,92;12433,46;21411,46;25102,00;514224,84
"316610 Senhora do Porto";-;-;-;10457,72;7081,33;8844,72;9834,57;7850,77;15865,13;15304,58;9538,32;14754,53;14421,13;14124,45;12946,00;8709,67;12011,85;12042,03;14658,48;15848,79;17172,39;20142,54;24030,44;27969,36;22936,85;20972,22;21676,22;21405,16;24939,95;18041,18;21456,95;20451,64;18718,17;26436,56;23551,73;20927,94;18750,05;18854,23;20570,65;613298,30
"316620 Senhora dos Remédios";-;1522,38;411,57;43662,00;38381,47;52872,96;54223,81;51386,54;44169,66;46477,38;46056,65;50972,51;43918,42;44522,05;39769,10;50110,46;45007,56;48148,32;51613,27;62084,96;54113,40;53720,46;53358,64;43473,46;39481,37;56093,59;48583,99;48736,52;43283,79;53305,49;52393,77;52780,03;49693,57;58052,54;55600,85;61938,68;67674,47;71892,80;71829,66;1851318,15
"316630 Sericita";-;-;643,00;31423,14;30453,06;25081,39;24488,53;24777,68;27206,50;28531,65;24166,07;24985,65;32964,96;27560,77;32435,32;28541,25;26623,64;31165,67;43021,34;28873,52;24273,00;21429,29;29147,22;26354,57;31500,23;24976,86;28629,16;24035,96;17720,53;24252,93;21748,80;23722,95;27065,07;24288,81;25143,44;25575,68;30781,36;33174,41;38027,67;994791,08
"316640 Seritinga";-;101,10;45,00;1825,84;5206,98;10738,25;11527,41;8266,61;13250,91;15156,67;12735,44;15905,22;12336,99;8924,69;13483,67;4950,25;5603,83;4494,61;10671,14;2906,86;3671,05;10170,17;3201,31;4202,08;16519,04;8943,52;10794,17;13847,26;7460,84;3991,40;14202,01;7469,59;6697,38;15967,45;6770,23;11557,53;15559,58;7557,55;6668,06;333381,69
"316650 Serra Azul de Minas";-;-;-;6706,94;2910,52;8828,29;2978,57;2942,61;2781,92;3990,25;4522,21;5368,81;9334,58;9576,65;8606,81;2828,07;14574,73;18182,79;26339,50;12931,42;20620,50;11955,82;10644,00;14198,65;13547,74;16639,20;6623,19;7153,95;2260,70;8804,33;5860,35;3975,50;7190,99;7308,64;4219,97;6602,97;5276,88;3566,10;2037,74;301891,89
"316660 Serra da Saudade";-;-;-;9047,16;3044,17;2689,07;9443,63;2898,60;5768,75;8459,01;7368,77;3920,75;8960,49;7949,88;8264,47;7378,22;3882,33;2645,55;5797,35;5581,59;6150,96;5249,41;13061,81;6059,87;6064,63;6738,81;11594,84;11272,67;10950,77;6753,60;5760,78;6669,51;6397,73;6492,71;6014,53;7363,13;6092,68;5956,66;6737,48;244482,37
"316680 Serra do Salitre";-;-;1011,59;24807,05;16882,48;23890,98;28416,30;27369,80;27303,19;29857,11;27787,31;26792,26;26538,95;24347,31;28320,50;23941,11;19517,06;21477,57;22453,06;18126,12;21643,69;21228,73;30958,95;26429,93;37707,45;22203,57;24348,14;22734,82;25479,33;32434,48;24805,49;28235,90;30679,37;28916,14;33130,96;32219,86;32892,23;35225,75;37857,92;967972,46
"316670 Serra dos Aimorés";-;7,14;6164,84;17471,85;16629,51;14782,37;16089,61;14856,06;14317,55;15172,11;15002,03;15457,72;21608,92;30351,50;24362,46;19652,98;23082,49;19506,82;16468,92;17128,91;18229,70;16250,70;15884,49;21679,96;17138,57;16409,89;18644,69;17208,90;18601,10;22759,48;29335,72;21735,42;18497,38;16250,43;21165,97;20589,44;25317,91;17843,14;20732,99;692389,67
"316690 Serrania";-;-;6,97;63740,18;71229,32;72111,11;81929,52;65081,04;76114,92;74539,70;71616,35;67718,98;75124,97;65100,62;71300,62;79501,22;80870,37;95240,18;82589,34;80437,79;72200,75;74742,69;76102,33;64178,35;66774,97;74575,77;53323,89;56216,56;61353,12;67931,77;66043,96;81700,43;77273,28;64346,95;69339,53;66330,28;68591,50;70150,47;85014,53;2590444,33
"316695 Serranópolis de Minas";-;-;-;14228,16;15962,65;11535,05;18218,70;10936,43;15603,66;19229,51;16689,12;18046,74;10338,26;11557,75;9075,74;13408,24;10870,16;11797,38;14097,29;11830,18;31062,40;23011,98;14140,27;13222,39;11267,27;9266,81;6841,28;8954,88;12681,23;17395,34;17138,24;17677,10;14501,16;19863,44;20923,96;20953,73;15618,47;15316,37;22268,82;545530,16
"316700 Serranos";-;45,00;-;8829,59;4695,16;9146,38;7623,67;2428,59;2746,04;6438,32;4174,28;5357,59;11717,39;3372,71;6658,11;3015,47;2326,83;2295,38;3741,68;1369,14;943,60;3995,84;5373,20;1580,38;3534,34;2359,76;1646,91;3295,82;832,33;2572,56;2847,59;2130,10;3715,38;5217,14;5771,53;5761,40;5919,10;5349,83;6744,11;155572,25
"316710 Serro";225,10;-;821,33;59867,69;54734,94;81115,87;67376,19;66491,24;60086,57;62431,94;61740,08;55658,45;57734,05;62005,78;52642,33;51976,18;64211,27;59287,21;46280,46;59013,89;62702,59;74465,04;70975,55;52102,85;62462,07;60814,81;57967,54;59793,05;55918,43;58686,13;58059,27;69284,05;59652,40;70493,26;88668,70;75271,82;62809,55;91607,10;56573,50;2272008,28
"316720 Sete Lagoas";906,93;8629,12;27051,14;1151779,01;1046022,80;1067702,74;1116401,60;1068137,69;1126621,59;1198212,85;1121599,57;1098930,11;1185035,50;1189382,08;1157556,49;1117129,54;1057263,69;1042929,91;1018420,52;1104783,96;1038897,42;1058055,32;991505,20;1058404,75;999901,51;930351,37;966916,56;1018823,03;1014073,88;1105400,08;1050111,24;1002290,71;1032335,47;1171056,29;1230005,84;1261336,83;1212568,40;1162492,65;1170797,63;39379821,02
"316555 Setubinha";-;-;35,72;13740,88;16681,23;26412,08;17641,27;20936,53;19146,88;16970,80;10155,09;9380,34;9584,29;15345,72;21082,73;17359,78;17901,95;17701,58;18517,08;20133,53;15303,72;33365,36;21568,57;19643,49;22855,59;21882,75;22025,79;23894,04;15985,41;26403,00;27521,86;26289,65;25759,75;28191,31;30382,47;45802,52;34832,23;35254,84;25423,24;791113,07
"316730 Silveirânia";-;2070,00;2224,78;7385,62;7945,47;10767,33;10485,24;8885,16;7618,26;7898,64;9343,08;8791,33;5079,61;4709,70;17494,70;6714,27;4460,84;4798,57;7464,28;8161,36;12085,92;11769,63;6716,36;5815,38;6407,27;9549,33;7474,35;13801,68;5361,86;7127,98;11106,39;6868,86;5195,49;5143,92;5396,93;8411,95;14238,89;13002,76;8041,67;305814,86
"316740 Silvianópolis";-;-;207,18;17320,74;37929,77;35284,02;34124,80;36525,78;14590,31;13623,96;31398,30;22017,30;21832,01;39977,46;26263,99;26206,84;35679,33;30173,68;24319,14;45513,59;30376,61;30009,30;32088,32;24264,17;24017,51;42651,51;27966,07;27988,92;45484,78;29394,76;34824,22;49784,08;29228,80;17360,35;40385,54;20976,22;21675,14;35113,00;21733,19;1078310,69
"316750 Simão Pereira";-;-;-;12390,39;11165,98;15140,80;13801,52;21439,18;13122,93;19477,62;19552,80;9207,58;24987,76;17077,62;20884,65;15672,49;16438,01;16880,13;18045,96;24729,26;19770,83;20975,49;23942,77;25506,59;53920,50;31129,17;27253,91;24564,31;16293,96;13304,19;10888,84;20353,91;16289,15;9811,36;14469,17;14429,84;17621,79;10597,42;16955,05;678092,93
"316760 Simonésia";243,76;-;1067,50;70097,47;64776,07;75043,64;72963,46;75756,21;72863,20;71702,64;73208,98;79091,71;86447,45;80784,59;70302,39;77651,51;71549,34;75551,98;69632,95;65820,24;71353,28;66170,16;75284,80;72131,48;79437,52;75483,94;71887,42;58342,53;60485,25;60070,54;57337,69;60896,79;62266,63;58211,69;59772,06;61415,30;64193,92;61773,09;56009,70;2487078,88
"316770 Sobrália";-;1286,00;1974,00;15246,23;10322,94;13661,83;27202,73;24310,07;30343,64;22280,93;18367,26;17101,53;19748,14;35188,23;18193,86;22058,57;20770,03;16725,30;26279,65;16090,62;17052,49;13882,11;21860,51;20469,84;20505,64;27339,94;25589,40;23575,56;19542,74;18231,17;14365,68;17582,70;20838,02;23414,03;22106,73;20083,10;25165,17;21452,11;24502,62;754711,12
"316780 Soledade de Minas";-;292,32;-;23189,87;17189,57;14130,56;15819,98;23531,27;19460,10;22922,20;16937,10;29893,83;20764,15;22371,37;18222,83;18596,11;27717,89;24739,76;19209,32;20584,33;20409,53;22716,82;27309,96;23814,97;22562,02;19344,23;17232,08;25234,15;21429,51;21453,33;23424,89;19209,80;23944,85;21060,20;26877,31;28115,88;23900,27;25420,00;29172,05;798204,41
"316790 Tabuleiro";-;3285,00;2407,25;27284,74;23538,82;27287,45;26549,94;23860,50;23954,72;25495,92;27840,51;23881,60;23301,67;27689,72;26125,97;25130,95;25667,91;24753,05;24665,44;34607,08;23729,88;27813,39;23541,92;21125,57;22358,19;23762,26;27326,57;28039,20;30635,64;30505,90;32805,09;32815,95;24965,09;29530,65;33017,71;28681,01;22991,17;20020,08;24328,30;955321,81
"316800 Taiobeiras";-;-;82,16;133544,51;101888,62;131668,42;129600,05;138293,87;131232,61;128105,40;137447,48;132441,96;120711,23;113107,16;122540,85;138816,28;147143,31;142487,69;142357,20;147509,95;141110,20;147341,98;163847,35;143974,18;164055,42;153719,25;144741,46;164225,78;151058,22;173901,92;161922,36;171078,88;150213,75;172322,55;178594,82;158977,19;162129,65;170763,07;146172,53;5259129,31
"316805 Taparuba";-;283,76;-;16860,15;14445,08;24588,71;16564,69;13466,37;24372,22;16173,30;15427,86;13199,89;20111,43;13482,53;13425,92;13016,20;11374,74;11208,08;10507,27;10761,22;16782,04;12918,79;15305,81;10868,50;13109,23;12256,77;11892,61;14046,51;13941,20;14615,74;22325,68;20805,23;18396,51;20651,79;16196,67;15618,65;19314,65;15272,52;13106,70;556695,02
"316810 Tapira";-;-;537,50;6476,08;7977,14;10014,35;8810,05;14733,58;13326,50;14912,74;15884,37;11424,42;10627,97;13035,56;15839,67;17121,98;13218,38;8535,66;10535,76;13641,77;23173,85;15604,15;17358,47;11464,40;13974,33;10219,63;8883,67;15152,07;18928,23;22399,63;12786,14;16710,19;13298,85;16575,40;26248,92;18618,15;21093,48;20869,46;18547,69;528560,19
"316820 Tapiraí";-;-;-;6709,89;7390,54;5753,25;4886,43;5130,87;11520,69;8264,23;10865,10;7267,73;11628,86;11657,26;7376,97;8009,49;7698,08;12273,61;6321,15;7417,04;8043,28;5887,39;6812,93;9406,89;5519,09;4269,18;6731,41;5764,81;6452,96;5351,17;7088,93;3100,64;3861,65;3870,58;7165,91;6122,29;2197,41;2452,45;6968,59;247238,75
"316830 Taquaraçu de Minas";-;1807,12;467,15;26740,51;19476,75;20806,65;30589,29;20405,47;13086,79;17152,00;13197,92;14216,82;24318,59;12719,03;22635,79;19277,09;13465,55;15246,85;12156,74;13390,49;6657,54;16205,91;14613,04;12011,45;17327,41;16835,94;11197,68;11827,91;8795,03;16147,12;8083,53;16755,89;20003,28;20304,18;18335,49;21557,76;30660,40;19474,81;12117,11;610068,08
"316840 Tarumirim";-;747,42;5927,55;59132,91;55991,89;65788,42;58117,66;57328,69;75048,69;62193,35;57336,76;58158,86;69822,00;53710,26;58490,67;51427,81;62072,65;56095,75;56727,25;48669,90;44813,52;44618,83;43186,39;36917,00;39305,50;55095,18;55657,17;38636,44;43197,10;47116,25;56809,36;63748,94;56835,14;75107,80;68638,08;60194,52;69477,04;59583,55;46236,93;2017963,23
"316850 Teixeiras";-;-;380,88;52295,38;51335,53;62015,38;57442,98;69761,27;58934,47;64528,99;67632,25;69652,88;73402,03;56933,67;65315,52;66618,54;69197,10;72941,06;61229,65;72099,47;64293,43;69337,29;54504,09;60364,75;93640,02;70953,03;66065,84;62661,74;64927,66;82715,96;71043,43;70443,55;74677,09;70999,96;74129,26;65588,88;66326,74;75292,44;65475,20;2415157,41
"316860 Teófilo Otoni";268,75;5298,93;73766,05;631265,64;581922,84;661943,59;685928,73;669203,51;661174,31;699100,40;679040,18;894210,11;702976,61;671884,38;967332,38;644455,89;682394,81;828574,83;761793,66;688076,72;660560,08;611736,35;765168,45;647140,68;674943,07;663270,55;837212,93;686132,41;699088,17;773459,93;762352,81;922077,22;714619,49;772580,99;787856,35;823452,02;897733,45;793197,02;872450,23;26555644,52
"316870 Timóteo";90,00;3620,68;20855,90;344547,82;299191,30;399895,78;347323,82;359716,39;369104,45;299490,67;335981,24;351930,06;354241,25;390776,21;346702,30;329495,63;332241,97;382208,83;387865,97;361114,27;415570,79;387735,33;424711,41;356340,46;378662,96;402873,97;405736,06;411972,81;384786,58;485198,31;440735,36;456398,92;448765,30;417553,27;447562,17;456384,53;420894,73;407707,16;361671,60;13927656,26
"316880 Tiradentes";45,00;90,00;765,00;27937,39;26513,51;24066,36;28092,39;20421,12;21447,40;28842,94;27999,07;26755,02;24676,19;25566,82;22761,28;17628,97;20603,47;20517,23;28193,20;19339,57;24041,93;23336,15;25852,51;21480,62;23902,37;24417,84;26731,31;26111,48;36636,68;30139,45;27231,84;32668,58;29532,08;28869,74;29888,95;32594,76;28238,04;28761,77;29358,74;942056,77
"316890 Tiros";-;-;625,62;7989,54;14757,68;13905,44;7142,34;11729,37;11911,02;18990,15;14081,57;18071,27;24847,90;16966,39;15864,40;12858,01;11405,29;9777,46;15864,62;12132,07;15943,42;11422,26;10871,32;29909,75;19669,71;16750,30;14643,92;17007,90;26319,90;18824,30;19319,37;15516,10;11249,68;17195,02;16732,08;17392,81;15970,07;26437,09;19391,45;579486,59
"316900 Tocantins";115,00;121,97;3989,00;78560,93;94817,96;76660,21;73575,58;80080,52;48332,62;66450,39;78347,50;59744,21;58684,98;63274,71;68346,28;62872,73;61478,57;55597,33;63377,59;70402,92;67441,77;65750,37;61004,73;66256,18;72508,14;86211,05;80807,34;79990,67;69779,31;90328,87;78312,83;102198,44;77806,54;92801,80;99844,54;87870,82;82088,16;81666,51;75016,72;2682515,79
"316905 Tocos do Moji";-;-;-;18136,96;25361,45;26758,58;23059,11;17345,00;24166,31;14355,91;18272,57;15729,68;14334,85;18666,58;15001,40;21828,95;21347,05;19558,65;22293,94;19130,01;20739,91;14036,29;17245,71;15125,54;24316,95;15958,58;17152,96;17143,11;18453,74;16777,78;14526,62;15418,05;21814,93;37769,60;27106,13;26357,59;29344,94;24493,81;20177,74;729306,98
