 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"110012 Ji-Paraná";279,33;45,00;8907,03;660011,11;623223,43;652729,46;637854,06;612791,67;659843,16;692379,17;810617,11;657325,52;648167,50;772178,10;793901,94;627553,96;595437,51;755519,15;752223,79;684889,02;769622,55;693456,15;690379,92;863416,23;697182,75;683227,23;832465,27;782844,81;895233,52;685901,06;710259,66;636778,97;624702,98;703821,17;679915,44;643601,88;696952,10;640296,28;692762,61;25268697,60
"110013 Machadinho D'Oeste";-;-;136,66;82036,12;90388,97;66209,42;86447,14;49830,10;102136,63;75167,25;80016,71;71198,31;54818,66;79050,12;87372,56;82691,25;66406,30;111133,01;81106,34;93928,29;77066,61;103028,83;86003,52;106124,52;85922,22;92777,17;82023,13;93005,26;66241,86;77925,22;88957,54;80627,38;88052,81;100792,95;111375,27;77598,15;70161,14;89357,02;79396,93;3016511,37
"110120 Ministro Andreazza";-;-;-;33190,12;51149,54;38384,00;33325,71;44896,00;43924,44;51655,74;45287,26;32694,90;39032,70;65767,72;47232,75;44193,41;49548,19;45063,78;54684,44;43740,68;39399,13;41523,25;49960,84;60912,09;50921,57;53971,41;55251,59;34663,50;26309,43;44185,29;33716,34;46159,73;44932,17;41258,34;41499,92;34740,47;25545,47;36347,94;53877,98;1578947,84
"110130 Mirante da Serra";-;-;-;35922,50;48125,24;55594,57;48175,54;43809,78;48004,11;42708,51;52462,95;34118,10;49581,54;44270,13;45148,64;41372,00;32696,14;79220,48;99233,24;48411,87;64168,43;59213,33;58178,27;73984,14;69737,35;60394,53;50538,69;43103,68;86639,10;63265,44;38983,87;44849,91;41943,94;58575,04;54749,10;61690,85;54567,53;49748,21;41543,84;1924730,59
"110140 Monte Negro";-;-;6,97;68045,50;37827,39;33179,65;46960,37;38969,34;48978,09;67934,08;45524,40;64973,20;48876,27;41571,78;64660,74;52524,81;48357,10;47099,83;43056,66;37434,77;59667,35;45663,46;44537,23;84837,13;66884,24;53184,25;44360,79;47795,80;36420,59;43972,73;56954,15;45207,01;54558,20;46171,55;47756,97;54767,57;51864,16;36808,45;37710,37;1795102,95
"110014 Nova Brasilândia D'Oeste";-;-;-;74376,66;46262,28;61160,84;60934,15;76880,27;85618,53;51447,89;61193,34;74170,31;47904,42;57993,51;70583,54;51211,73;58018,26;88148,60;69444,75;68279,04;63463,03;51275,50;68892,04;63226,21;66731,37;70270,50;81148,89;106922,21;70994,55;73782,61;75486,44;66377,57;78794,03;90275,95;86234,67;67290,27;58023,02;61799,61;80339,61;2484956,20
"110033 Nova Mamoré";-;-;-;34517,07;54880,10;26884,48;48090,18;30071,55;46023,37;64973,73;59550,72;60161,87;51659,84;65618,16;43281,19;60959,55;60282,93;63170,81;63135,44;49701,52;60927,63;52678,27;56107,55;55444,72;66850,83;41956,41;76678,77;55163,07;44215,18;53029,19;67386,80;46903,38;53879,53;46878,66;50096,06;35048,44;70201,24;62847,03;66759,23;1946014,50
"110143 Nova União";-;-;-;35584,14;30636,33;31971,49;26230,24;19381,00;40584,71;25902,26;24330,02;27566,12;33570,89;42599,61;43711,10;30595,68;15842,75;30256,15;19420,69;13417,69;26185,29;28839,58;16843,51;33269,63;21241,23;25007,01;26664,62;23140,69;29749,82;27635,49;29584,12;32358,08;20029,08;36647,18;29975,56;23174,94;31602,35;25801,12;40242,79;1019592,96
"110050 Novo Horizonte do Oeste";-;-;-;29819,86;37290,14;43544,95;31042,29;36585,56;49267,89;35171,23;30731,19;30449,02;28570,49;33950,04;55577,60;30395,60;31253,01;40321,11;35272,83;53156,60;45193,02;45006,70;48856,18;52928,59;49054,14;52312,79;48673,88;61004,67;47238,70;40550,51;47510,07;47749,02;65059,62;59470,89;48903,16;50926,68;50918,76;58423,65;46605,14;1598785,58
"110015 Ouro Preto do Oeste";-;-;45,00;212423,84;203618,28;193087,36;199636,88;206574,78;172284,57;215239,69;242685,34;188488,32;187672,90;189787,83;199296,04;153126,88;177596,33;235027,56;164338,06;162725,08;201419,95;215920,21;202485,62;217935,88;189573,93;182789,06;265316,84;220402,58;196679,03;200611,92;172209,28;175653,53;177281,51;205115,12;180838,95;160496,65;207913,82;198677,52;216926,80;7091902,94
