 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"150320 Igarapé-Açu";-;-;729,11;115368,54;77160,19;78252,98;64082,66;63543,96;68486,38;78926,59;60276,20;606826,61
"150330 Igarapé-Miri";-;701,50;2336,20;99371,76;100704,10;92073,20;86765,56;76612,70;80518,61;91378,62;94058,78;724521,03
"150340 Inhangapi";-;-;486,77;42317,26;48838,92;42812,41;38147,82;33818,68;31781,03;44820,75;35222,64;318246,28
"150345 Ipixuna do Pará";-;-;1644,69;104830,17;119024,34;78450,55;91626,60;79746,41;87561,82;89984,30;71198,77;724067,65
"150350 Irituia";-;-;408,36;70980,75;68941,07;63669,60;52468,56;44419,32;53036,19;65505,10;65045,94;484474,89
"150360 Itaituba";-;-;29,16;197538,79;141290,69;214624,87;162923,11;135395,02;214158,68;189748,31;131766,97;1387475,60
"150370 Itupiranga";6,97;7,30;74,20;55292,97;62995,49;54588,90;41262,53;41038,23;44658,17;42392,53;42060,23;384377,52
"150375 Jacareacanga";-;-;14,60;22568,34;6980,46;7919,95;5691,55;26901,14;12331,83;17085,58;13896,12;113389,57
"150380 Jacundá";-;45,00;144,34;114371,51;148112,97;137704,51;88544,07;69369,80;75788,33;87917,39;90328,59;812326,51
"150390 Juruti";-;-;14,27;141350,69;122460,10;108377,82;111662,03;111394,12;134817,81;59593,66;110626,81;900297,31
"150400 Limoeiro do Ajuru";53,00;180,00;678,34;33275,40;34741,08;15713,53;18682,95;15638,39;20448,41;21354,11;22262,04;183027,25
"150405 Mãe do Rio";-;-;1307,81;89880,22;86915,73;98723,84;82472,83;58585,97;67256,22;82055,84;78470,47;645668,93
"150410 Magalhães Barata";-;7,30;80,84;17419,64;26261,73;11220,22;10539,10;8794,70;9577,00;26328,92;21323,29;131552,74
"150420 Marabá";35,17;480,09;5890,46;805397,68;743445,55;696932,31;696575,02;570101,98;667619,91;681655,51;754370,80;5622504,48
"150430 Maracanã";-;-;181,90;48902,13;57644,99;52494,90;50566,51;53914,92;56962,26;66065,23;49514,28;436247,12
"150440 Marapanim";-;-;426,57;53159,41;43463,60;50144,24;39745,89;46671,74;49194,31;35249,24;35270,17;353325,17
"150442 Marituba";-;32,00;1763,77;510292,97;518114,38;487511,99;443787,55;409153,06;448683,03;465004,49;497309,94;3781653,18
"150445 Medicilândia";90,00;315,00;517,50;57757,43;83354,33;73655,41;36623,99;47466,67;39797,41;39500,93;102815,34;481894,01
"150450 Melgaço";-;-;266,94;15794,47;13538,24;6955,87;3180,37;3145,45;1332,79;3637,44;7214,94;55066,51
