 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"311060 Cambuí";-;-;355,20;163078,07;148284,62;156891,71;146577,67;122613,98;169566,61;155127,26;144797,80;1207292,92
"311070 Cambuquira";-;-;171,28;83910,14;76924,15;76024,44;48436,84;45037,14;49496,85;65877,81;54949,10;500827,75
"311080 Campanário";-;-;40,92;16351,83;16462,61;19351,50;15076,93;13583,86;12180,86;13227,04;16524,21;122799,76
"311090 Campanha";-;10,00;121,74;89052,31;64191,43;71666,97;62656,69;60731,06;59644,12;75123,10;51713,67;534911,09
"311100 Campestre";-;190,99;2600,76;135632,57;115852,64;153835,37;115340,55;104252,61;114097,41;148403,88;119626,33;1009833,11
"311110 Campina Verde";-;-;-;72003,64;65351,87;83607,10;67757,67;71611,13;60376,02;77019,90;79580,66;577307,99
"311115 Campo Azul";60,48;20,16;-;17021,13;17022,33;17832,28;11775,70;12724,37;14503,98;14734,58;20231,00;125926,01
"311120 Campo Belo";456,58;959,23;4154,62;667672,41;651510,12;554770,81;398690,59;456950,22;506598,25;549358,03;562436,97;4353557,83
"311130 Campo do Meio";-;-;530,90;82590,61;90018,36;87769,89;71142,90;72999,95;90767,43;91770,22;86840,84;674431,10
"311140 Campo Florido";-;2224,00;5085,90;31526,86;23333,73;22290,02;18848,12;16924,39;21538,78;25936,47;18076,04;185784,31
"311150 Campos Altos";-;4485,29;5441,35;61159,99;55436,41;47181,19;45187,93;42154,89;43570,60;43183,45;41334,44;389135,54
"311160 Campos Gerais";-;-;6157,40;189819,13;132965,74;158367,70;149910,73;121547,23;151165,09;130194,88;142909,69;1183037,59
"311190 Cana Verde";283,76;-;631,77;46831,25;50131,31;48528,14;32399,53;56729,08;45052,62;38008,28;41668,21;360263,95
"311170 Canaã";-;-;-;26384,01;27225,34;30463,23;27181,90;27860,45;25468,75;32156,82;31727,04;228467,54
"311180 Canápolis";-;-;150,00;66741,53;69042,69;70734,78;44787,10;64416,01;54877,19;58820,16;67310,63;496880,09
"311200 Candeias";230,53;621,94;969,43;107259,96;98045,03;86367,36;75365,27;76445,81;80937,39;88797,55;84169,51;699209,78
"311205 Cantagalo";-;460,76;418,72;15471,43;10830,76;15767,40;13304,11;13076,17;10679,60;10829,82;8070,87;98909,64
"311210 Caparaó";-;-;88,21;12064,85;14263,21;18865,95;17591,68;17120,27;14439,86;13264,47;13622,50;121321,00
"311220 Capela Nova";-;-;14694,84;23363,97;29100,87;27422,63;15307,52;14930,26;18353,04;24321,11;6645,24;174139,48
"311230 Capelinha";459,74;8587,17;16073,96;109407,55;135375,89;135213,96;115776,93;79370,24;73868,00;104979,17;136589,72;915702,33
"311240 Capetinga";788,11;348,38;2627,67;43237,75;33991,63;34043,67;23899,16;28172,66;31149,43;37531,15;34767,52;270557,13
"311250 Capim Branco";1751,13;243,76;14294,77;54319,22;53453,31;60907,68;49148,08;62088,19;60114,67;49696,24;56913,93;462930,98
"311260 Capinópolis";-;87,05;416,35;85156,50;88098,71;85194,44;71981,02;88138,92;86054,70;79871,74;84656,83;669656,26
"311265 Capitão Andrade";-;17,03;575,77;23650,34;24060,86;27605,74;20309,07;22990,47;20039,37;28105,39;23469,40;190823,44
"311270 Capitão Enéas";-;97,44;579,34;48392,55;65563,75;75840,53;38292,58;55048,92;50141,51;49975,64;49711,58;433643,84
"311280 Capitólio";-;2409,26;2552,50;45540,01;48079,96;48507,91;40836,13;42175,34;49630,39;36804,33;45636,03;362171,86
"311290 Caputira";9,14;17,30;933,24;29924,44;30735,40;31060,12;34416,85;33773,76;35212,56;33000,53;28533,20;257616,54
"311300 Caraí";-;10,00;9842,67;48668,29;65736,73;56393,64;53180,84;54248,87;66749,76;62826,38;63540,08;481197,26
"311310 Caranaíba";-;6,36;4492,60;14956,67;9268,84;16803,73;5489,80;8961,58;12444,73;14695,28;10495,06;97614,65
"311320 Carandaí";10,00;194,87;9624,30;137514,84;133953,33;121412,05;105012,67;117818,69;139246,31;131916,22;117958,00;1014661,28
"311330 Carangola";10,00;-;13403,99;190540,14;203306,93;194041,95;166400,82;170563,67;189802,10;211477,21;217844,29;1557391,10
"311340 Caratinga";2530,00;6855,16;14950,37;692111,87;622999,63;577859,29;512155,16;513308,58;494051,03;558215,59;556934,65;4551971,33
"311350 Carbonita";-;200,99;8469,68;28171,54;24814,27;30881,71;16873,99;21169,81;23703,98;24965,74;15053,93;194305,64
"311360 Careaçu";-;-;45,00;37555,71;21964,77;28993,22;20687,95;29480,89;49765,04;27048,68;27530,40;243071,66
"311370 Carlos Chagas";-;283,76;2303,90;82611,84;87064,95;76945,48;57775,65;63268,81;69378,51;74478,52;78288,10;592399,52
"311380 Carmésia";-;-;121,01;2471,13;4363,61;4411,39;2604,26;2514,62;2408,87;4593,41;2314,38;25802,68
"311390 Carmo da Cachoeira";-;-;1170,00;40693,20;50412,86;39964,74;38503,16;27707,05;29821,56;40703,37;38735,27;307711,21
"311400 Carmo da Mata";-;212,44;1017,61;51603,62;53677,76;60339,60;44292,70;37130,23;33472,34;43951,10;37141,19;362838,59
"311410 Carmo de Minas";-;1200,00;5255,38;117564,26;94980,65;61246,27;43947,88;42666,79;61637,96;59466,66;75643,19;563609,04
"311420 Carmo do Cajuru";2320,00;1625,05;4372,23;67793,26;60595,30;70124,17;58448,59;69380,15;80513,78;63361,71;55738,80;534273,04
"311430 Carmo do Paranaíba";559,80;566,46;7495,22;141219,46;110495,01;102497,25;90196,86;128003,49;91350,53;102595,67;90911,02;865890,77
"311440 Carmo do Rio Claro";-;-;2114,33;163358,46;123111,41;129467,58;122085,57;121254,89;124975,30;124685,24;106933,27;1017986,05
"311450 Carmópolis de Minas";1306,41;5610,24;9903,84;78582,86;81961,71;70528,35;69200,90;69041,92;73764,32;69164,05;83093,64;612158,24
"311455 Carneirinho";330,50;375,48;2765,56;40729,70;34664,22;33287,31;20292,51;13960,36;13206,85;14596,76;13779,59;187988,84
"311460 Carrancas";-;-;-;20920,25;13262,57;19207,37;11801,38;10596,74;11470,22;14618,86;13496,14;115373,53
"311470 Carvalhópolis";-;-;64,44;35206,29;38687,48;35952,16;39408,13;42882,93;42004,02;51517,06;42368,69;328091,20
"311480 Carvalhos";-;-;800,17;13315,47;11039,91;8781,26;9103,62;9875,30;14945,28;15167,62;11393,25;94421,88
"311490 Casa Grande";-;-;283,38;23165,70;18766,99;26108,11;13509,82;33033,50;19876,54;25971,05;19241,59;179956,68
"311500 Cascalho Rico";-;-;-;22386,84;16446,28;19702,35;14942,37;18060,85;10622,90;16637,72;9735,48;128534,79
"311510 Cássia";-;34,20;1108,90;100909,33;109093,18;105311,67;90153,57;85169,97;109670,85;73859,23;89260,88;764571,78
"311530 Cataguases";-;321,89;6093,03;383008,67;340542,69;359938,98;299047,97;325355,76;341579,55;372558,29;391324,44;2819771,27
"311535 Catas Altas";202,44;-;3878,89;19222,35;16015,18;17935,79;13355,66;19741,79;19334,20;27472,02;40899,90;178058,22
"311540 Catas Altas da Noruega";-;-;98,19;19433,17;20433,25;21203,42;11705,49;12861,59;14376,93;23032,93;33167,93;156312,90
"311545 Catuji";10,00;-;598,41;37393,82;35980,30;32678,64;27550,91;26671,86;32426,42;34679,90;27777,62;255767,88
"311547 Catuti";-;-;86,75;28211,64;24709,35;28347,92;20336,26;21327,41;20348,66;23594,33;24826,23;191788,55
"311550 Caxambu";-;2800,87;8174,84;149940,68;124074,36;129008,12;103278,52;115007,86;119341,58;110556,53;115639,64;977823,00
"311560 Cedro do Abaeté";-;6,36;3,37;5550,26;7636,27;4250,98;2714,72;3605,57;3237,73;3925,71;4367,52;35298,49
"311570 Central de Minas";230,70;13,78;1088,92;27133,68;32678,57;33886,96;25689,62;23175,25;24622,22;21520,30;24040,25;214080,25
"311580 Centralina";-;-;-;53744,33;62896,40;65101,36;44810,73;51185,60;47082,82;54605,33;61793,96;441220,53
"311590 Chácara";20,46;60,48;186,59;7350,36;9468,31;7574,21;6410,54;6664,21;14025,14;13816,97;10571,87;76149,14
"311600 Chalé";-;202,97;95,05;39343,03;21052,90;23557,51;21623,93;29028,51;28170,66;25498,00;26584,16;215156,72
"311610 Chapada do Norte";-;115,00;875,03;31181,67;30415,40;27340,03;15031,76;16556,32;16359,63;21952,12;20457,33;180284,29
"311615 Chapada Gaúcha";-;-;-;17212,15;12845,54;11086,26;10371,94;10770,47;15635,88;18940,26;20524,49;117386,99
"311620 Chiador";-;10,08;10,08;14256,95;18555,73;22482,35;15409,44;15625,83;16610,81;14428,45;15031,75;132421,47
"311630 Cipotânea";-;88,16;9711,67;26837,40;28993,88;23988,44;22324,42;25541,64;22014,63;32848,63;22308,79;214657,66
"311640 Claraval";-;-;72,30;11376,53;10498,68;8094,83;5979,61;6058,09;6273,59;8167,27;7264,41;63785,31
"311650 Claro dos Poções";-;7,30;1153,94;55679,67;58281,45;43037,43;47808,57;37412,69;37411,20;39622,23;63006,52;383421,00
"311660 Cláudio";-;178,43;5615,43;94522,61;97361,97;95245,46;70765,30;78865,31;90329,84;110735,15;104446,62;748066,12
"311670 Coimbra";-;-;676,83;43497,45;32104,61;32262,13;28002,23;36149,54;32067,41;31898,50;40011,34;276670,04
"311680 Coluna";413,67;682,42;1167,45;19530,38;31429,73;22714,41;20392,70;20893,31;17080,82;24928,97;21374,63;180608,49
"311690 Comendador Gomes";-;-;214,26;12624,16;8379,89;8519,48;4508,39;5398,05;10777,58;3683,46;4105,40;58210,67
"311700 Comercinho";77,74;-;2952,21;34195,80;25479,87;16458,27;8677,81;8779,06;12811,39;15096,09;17757,46;142285,70
"311710 Conceição da Aparecida";-;-;231,91;58585,57;53055,08;59896,22;45708,46;34333,98;48548,67;49712,03;53848,16;403920,08
"311520 Conceição da Barra de Minas";-;-;690,89;30443,46;29225,57;29246,29;24826,23;17857,34;19196,36;18129,28;20451,65;190067,07
"311730 Conceição das Alagoas";235,94;1517,23;15340,09;150100,06;154851,06;149916,06;114250,05;119723,79;107238,44;110150,20;115036,17;1038359,09
"311720 Conceição das Pedras";-;483,16;247,09;22004,01;21697,62;24962,75;21428,66;16965,31;23943,70;50658,41;14961,71;197352,42
"311740 Conceição de Ipanema";-;109,50;71,02;16523,22;11927,11;8060,21;8462,44;6314,95;12051,05;18837,36;8732,99;91089,85
"311750 Conceição do Mato Dentro";460,76;500,42;3077,63;53811,61;45380,58;55429,05;57772,06;48643,58;53249,85;51536,74;39629,99;409492,27
"311760 Conceição do Pará";-;-;1342,47;27396,72;25649,05;28010,23;30888,18;28709,88;23980,11;36526,58;20243,92;222747,14
"311770 Conceição do Rio Verde";-;2364,80;2621,61;84157,23;61379,84;63387,34;55583,48;52010,87;51338,80;50204,40;38700,98;461749,35
"311780 Conceição dos Ouros";-;-;17,97;58311,81;43658,28;51172,88;43941,41;38536,58;43277,72;38768,20;41259,27;358944,12
"311783 Cônego Marinho";9,00;9,00;2766,61;25625,29;38457,11;22522,20;19960,33;16548,32;20006,62;19417,33;34156,94;199478,75
"311787 Confins";-;115,00;5384,98;52191,04;48546,94;43934,04;40815,82;40579,28;43039,82;43020,13;41422,35;359049,40
"311790 Congonhal";-;-;4,69;88386,33;75824,79;87750,34;73332,25;61607,11;84127,21;79152,31;92482,88;642667,91
"311800 Congonhas";3528,35;3873,64;34194,19;426450,63;403241,98;380233,60;238784,41;270037,17;322312,69;429915,45;369862,96;2882435,07
"311810 Congonhas do Norte";413,67;475,55;726,94;14731,92;11846,25;7067,91;5076,92;3847,52;5918,49;7288,17;7602,10;64995,44
"311820 Conquista";305,57;301,50;504,27;34390,03;32389,80;33521,88;26132,48;29520,27;33539,51;26151,47;21094,94;237851,72
"311830 Conselheiro Lafaiete";5873,90;9593,59;53899,26;588097,32;607384,01;592912,43;447070,61;461123,83;542884,29;623328,15;626137,36;4558304,75
"311840 Conselheiro Pena";711,88;-;2268,96;71166,05;76590,72;64985,86;56153,87;80865,63;72984,71;84416,29;94044,14;604188,11
"311850 Consolação";-;-;55,22;14047,36;20955,19;13896,70;7974,15;7691,10;5730,57;7266,87;7687,33;85304,49
"311860 Contagem";24056,95;173930,69;472562,33;4073863,89;3668150,86;3500668,70;2871925,02;3079197,40;3144989,56;3327433,95;2995024,63;27331803,98
"311870 Coqueiral";-;-;-;79781,35;87088,26;79472,47;52250,32;59479,72;57935,89;58990,32;60628,54;535626,87
"311880 Coração de Jesus";-;160,94;2214,94;97179,82;154785,48;80732,11;98196,27;112129,66;73079,77;113390,03;98007,78;829876,80
"311890 Cordisburgo";-;-;644,60;39427,70;46201,61;31928,53;28036,85;31021,04;37826,22;50633,62;37775,78;303495,95
"311900 Cordislândia";-;-;-;13566,81;14015,82;16617,90;12342,01;11110,91;12856,09;15293,75;14326,96;110130,25
"311910 Corinto";6218,87;6397,57;7502,41;117979,33;106750,21;99101,80;96862,17;97496,73;95205,73;98334,02;88580,00;820428,84
"311920 Coroaci";3169,05;2640,59;6555,49;39506,47;53743,47;54513,21;57018,19;45395,01;59502,60;46015,19;56522,14;424581,41
"311930 Coromandel";61,90;7,30;821,27;218241,92;209878,50;173132,39;132474,03;126277,02;128598,36;149561,23;124392,62;1263446,54
"311940 Coronel Fabriciano";96,64;626,43;38378,17;727317,10;644932,11;591025,68;494715,62;541803,59;585856,35;636101,86;589236,78;4850090,33
"311950 Coronel Murta";-;-;540,00;30360,87;22624,14;21297,20;14073,19;13054,56;17119,56;15968,03;21225,80;156263,35
"311960 Coronel Pacheco";-;-;600,52;16016,86;13672,41;19072,91;13542,06;17233,10;12849,19;19625,74;13274,60;125887,39
"311970 Coronel Xavier Chaves";-;-;643,15;21693,01;31437,23;25184,18;17228,71;23114,25;15616,51;24584,61;17467,00;176968,65
"311980 Córrego Danta";-;162,34;-;6067,35;10296,12;4421,06;2619,25;9522,35;5819,77;5237,15;7573,50;51718,89
"311990 Córrego do Bom Jesus";-;78,25;-;13205,13;17119,79;11889,02;10373,57;9617,99;14605,01;11351,05;15338,97;103578,78
"311995 Córrego Fundo";-;-;1118,58;21247,21;24557,41;24005,11;26141,70;22627,29;23693,26;26421,17;21404,40;191216,13
"312000 Córrego Novo";10,00;73,70;1586,48;21483,94;22850,18;16036,35;11640,67;38192,79;17893,94;24673,01;21678,03;176119,09
"312010 Couto de Magalhães de Minas";-;19,14;565,10;27349,15;34353,38;29476,87;25161,89;26147,52;21036,86;24545,63;24153,57;212809,11
"312015 Crisólita";-;-;139,65;19361,30;20540,10;8066,42;5738,38;5573,23;2995,31;8241,85;8604,37;79260,61
"312020 Cristais";-;-;528,97;102215,34;97271,21;85089,97;55939,57;60566,29;50824,91;78358,39;75215,19;606009,84
"312030 Cristália";-;-;374,02;13060,40;14088,58;5402,59;8774,58;17168,44;6673,39;8422,43;6019,49;79983,92
"312040 Cristiano Otoni";-;6,36;6085,38;22995,87;33508,18;20931,35;17738,75;14308,67;17004,99;20735,30;10942,75;164257,60
"312050 Cristina";-;-;483,16;63229,14;66775,59;69051,73;27941,28;44722,88;55678,47;47735,31;36934,08;412551,64
"312060 Crucilândia";-;327,95;1664,34;19632,53;25327,98;19960,91;17354,29;19214,70;16981,04;16373,66;9981,81;146819,21
"312070 Cruzeiro da Fortaleza";-;-;-;17947,70;14810,64;13978,57;13652,75;16018,82;16373,64;17081,43;25095,68;134959,23
"312080 Cruzília";6,36;600,00;287,94;95247,38;132076,79;89089,26;80487,56;88901,31;66189,66;80804,97;82777,27;716468,50
"312083 Cuparaque";-;-;892,80;16121,52;14889,84;14125,15;11609,92;15011,99;14838,20;10034,06;14664,03;112187,51
"312087 Curral de Dentro";-;-;277,26;27416,63;28849,92;34372,68;27015,70;28017,51;31873,38;46024,73;34634,32;258482,13
"312090 Curvelo";8548,88;9817,46;13218,29;483551,90;500315,92;450558,04;418763,40;416274,03;418216,27;424865,63;428544,26;3572674,08
"312100 Datas";-;-;934,42;27493,79;35027,13;23456,80;39790,27;35722,02;33131,29;35926,77;31912,07;263394,56
"312110 Delfim Moreira";-;-;178,80;51240,20;43388,39;46737,85;32079,77;36344,08;38290,33;56019,61;43386,27;347665,30
"312120 Delfinópolis";-;382,64;821,04;48669,91;50523,92;54779,74;39037,16;41644,72;43048,57;53489,42;49159,30;381556,42
"312125 Delta";-;2224,00;5733,50;13664,66;27030,44;28393,10;13282,77;15689,16;21390,02;18941,13;13804,56;160153,34
"312130 Descoberto";-;46,08;118,10;39216,93;35875,39;41039,40;30595,54;28219,89;26129,58;25251,16;25638,91;252130,98
"312140 Desterro de Entre Rios";818,55;788,96;3410,78;37791,44;30615,61;37491,51;25155,67;27785,67;28934,45;26817,01;22482,68;242092,33
"312150 Desterro do Melo";-;8,96;7687,13;40660,57;37805,00;34272,94;22996,77;31800,05;36958,51;49495,43;29997,17;291682,53
"312160 Diamantina";433,67;954,77;21339,74;325737,50;343619,86;296729,40;194734,89;217446,58;218995,94;231263,38;204190,27;2055446,00
"312170 Diogo de Vasconcelos";10,00;78,25;114,52;12965,77;18678,92;17494,88;16765,31;22065,51;15170,32;26694,02;21007,18;151044,68
"312180 Dionísio";-;337,40;3266,53;38979,21;32360,15;37982,93;31635,22;34158,82;40259,39;49573,26;35741,89;304294,80
"312190 Divinésia";510,88;453,36;1511,70;24504,71;22376,02;22586,30;18077,18;25356,14;17722,43;21852,86;17815,55;172767,13
"312200 Divino";-;-;599,38;98758,05;94353,42;100033,57;79352,39;85603,50;96892,78;88491,11;85108,10;729192,30
"312210 Divino das Laranjeiras";-;6,30;111,83;20647,59;21354,58;19285,59;23865,26;30982,45;21545,79;21717,68;28584,54;188101,61
"312220 Divinolândia de Minas";-;17,94;711,17;36702,34;33002,02;36556,40;23659,97;25095,08;27705,33;35120,43;25421,23;243991,91
"312230 Divinópolis";1931,86;6196,14;37739,11;1079707,71;1071922,04;1057889,16;1038811,13;1077813,50;1066824,57;1173011,23;1229750,75;8841597,20
"312235 Divisa Alegre";-;-;11,00;30031,32;31217,00;24323,37;22637,12;22884,68;20940,44;21321,42;17238,07;190604,42
"312240 Divisa Nova";-;-;600,08;63572,71;49594,93;33839,98;35171,59;30428,27;48897,16;43034,25;49019,00;354157,97
"312245 Divisópolis";-;-;22,00;17043,57;17020,06;20262,77;18120,62;23479,96;15527,70;19379,62;12431,90;143288,20
"312247 Dom Bosco";-;-;1980,00;22156,48;11725,11;12186,64;10242,71;12644,97;8776,62;11020,04;12876,88;103609,45
"312250 Dom Cavati";-;-;416,10;24118,88;34413,31;23327,74;18116,30;31469,12;22425,01;29372,60;31499,18;215158,24
"312260 Dom Joaquim";-;218,60;445,00;38037,76;33915,45;43741,83;24910,87;16473,03;19352,63;28068,17;25056,39;230219,73
"312270 Dom Silvério";-;-;53,41;28289,22;27047,86;21188,58;18436,48;15188,83;16795,05;18421,07;16322,10;161742,60
"312280 Dom Viçoso";-;-;7,30;29606,59;19744,75;21189,80;13797,18;15362,92;12249,71;18848,42;16112,78;146919,45
"312290 Dona Eusébia";-;714,10;780,20;26817,62;29574,05;26844,84;36878,49;24488,04;31692,86;34146,75;41052,51;252989,46
"312300 Dores de Campos";-;-;137,05;60145,70;73842,91;59137,07;52488,42;61614,55;48468,97;46608,39;48798,90;451241,96
"312310 Dores de Guanhães";-;97,44;2252,24;24258,21;29319,43;18822,46;13752,08;17245,91;18717,94;19149,78;17770,48;161385,97
"312320 Dores do Indaiá";9,71;621,08;913,77;71862,93;64774,14;64515,83;55983,26;63655,47;62268,63;63856,69;63663,11;512124,62
"312330 Dores do Turvo";-;-;2367,98;21025,62;15501,95;20528,41;17864,79;18970,76;27461,59;30328,05;27552,05;181601,20
"312340 Doresópolis";-;-;-;8927,75;6490,77;10368,81;14036,91;11024,75;23292,04;9376,19;8287,59;91804,81
"312350 Douradoquara";-;-;-;7774,13;7217,38;5853,50;4348,03;5551,45;3416,15;3346,69;1280,46;38787,79
"312352 Durandé";10,00;-;614,72;29431,56;25318,93;28586,46;24783,29;23807,15;23802,81;24437,87;21554,76;202347,55
"312360 Elói Mendes";6,30;1623,01;1134,19;144615,33;131888,72;119805,35;97750,31;88696,05;95736,55;103525,49;112212,60;896993,90
"312370 Engenheiro Caldas";25,57;644,07;6478,43;71716,09;72556,01;70913,40;58805,40;60761,63;62252,18;60015,96;73609,94;537778,68
"312380 Engenheiro Navarro";-;132,72;918,31;46091,01;47599,53;36531,06;36340,63;47568,91;38756,55;53624,37;52037,18;359600,27
"312385 Entre Folhas";-;105,15;731,00;37993,63;41175,51;34530,06;24974,94;27022,90;22224,96;39896,43;42568,11;271222,69
"312390 Entre Rios de Minas";1956,83;6365,65;13789,10;80573,29;70901,70;71140,22;52578,50;56191,17;65509,04;72946,55;49406,55;541358,60
"312400 Ervália";51,00;135,00;1747,85;87600,24;80716,74;81908,62;78643,86;87546,91;74181,46;83549,24;99379,60;675460,52
"312410 Esmeraldas";6535,85;11368,07;35277,35;284330,83;258746,40;252754,05;212666,12;225630,27;234179,92;249387,40;215978,29;1986854,55
"312420 Espera Feliz";-;-;448,21;111345,08;104096,56;107911,89;95478,58;97633,61;96169,73;92249,83;118231,63;823565,12
"312430 Espinosa";-;1160,00;1767,27;172078,46;108784,19;106888,66;115635,79;98106,13;118457,13;137050,78;139629,86;999558,27
"312440 Espírito Santo do Dourado";-;-;-;25523,74;24990,42;22392,60;17360,79;16107,38;19696,79;17614,63;26954,58;170640,93
"312450 Estiva";-;-;256,74;49334,08;47218,94;39762,52;42024,51;37841,04;46202,75;56842,72;42925,35;362408,65
"312460 Estrela Dalva";-;-;45,83;26450,22;23030,07;21723,52;22779,29;24240,20;22556,81;20274,11;20137,74;181237,79
"312470 Estrela do Indaiá";-;-;172,95;11538,08;16879,38;13805,48;13765,81;17213,03;22836,39;17069,54;13160,94;126441,60
"312480 Estrela do Sul";-;-;14,27;18813,78;19815,00;14608,65;10145,44;9620,15;14340,23;11316,38;13113,96;111787,86
"312490 Eugenópolis";-;-;2685,65;53309,30;53315,40;48767,73;54266,87;43177,10;48343,20;59183,49;68108,78;431157,52
"312500 Ewbank da Câmara";-;222,06;497,99;31837,16;24357,25;24873,95;20554,45;20265,63;21796,35;24443,13;27086,54;195934,51
"312510 Extrema";150,00;3779,71;5858,74;221506,26;246559,94;245418,28;195856,98;212150,15;235881,57;229085,88;215318,96;1811566,47
"312520 Fama";-;-;357,48;27696,50;24699,53;29758,65;21275,87;17584,79;19333,54;24219,35;26796,57;191722,28
"312530 Faria Lemos";-;-;16,84;16719,88;13537,96;25595,65;10733,98;11901,95;10394,52;14867,58;13841,67;117610,03
"312540 Felício dos Santos";-;775,16;3024,10;23658,48;25134,30;21883,19;14004,87;10467,48;16848,15;20693,05;15947,16;152435,94
"312560 Felisburgo";413,67;6,97;715,73;34835,99;53213,32;43915,31;38895,39;34877,95;33479,86;34014,67;28774,12;303142,98
"312570 Felixlândia";910,23;492,42;2372,23;73055,00;79552,65;70176,59;54363,33;55600,03;60482,88;69393,30;54060,10;520458,76
"312580 Fernandes Tourinho";-;26,77;1195,73;22461,76;20342,05;18349,43;14331,07;16927,26;16451,00;20573,26;27357,38;158015,71
"312590 Ferros";-;673,21;7588,90;41573,48;49535,94;39942,83;36140,70;32442,14;38683,09;35543,15;40004,87;322128,31
"312595 Fervedouro";-;-;20,00;44182,10;47238,90;54280,08;38112,47;32204,84;32223,04;39335,34;39966,16;327562,93
"312600 Florestal";32,40;224,25;3241,84;20542,04;24006,39;24805,00;12006,67;15923,80;16679,31;10635,85;15683,65;143781,20
"312610 Formiga";67,74;3450,62;7633,42;394481,91;386267,64;416461,24;351510,26;321879,68;330099,00;430528,03;356394,07;2998773,61
"312620 Formoso";350,74;46,56;10,00;32543,44;23459,16;35700,46;21397,46;21962,29;22860,35;26628,16;28274,88;213233,50
"312630 Fortaleza de Minas";-;-;-;36686,81;36818,89;34677,49;30065,27;31812,57;29944,48;39275,79;26386,00;265667,30
"312640 Fortuna de Minas";137,12;325,99;2401,58;24436,76;23994,31;25758,47;19161,24;12961,76;12850,91;10067,63;10551,18;142646,95
"312650 Francisco Badaró";138,63;695,46;10950,70;35461,98;22997,72;21141,43;19204,78;19216,34;26553,50;21859,86;13503,81;191724,21
"312660 Francisco Dumont";-;-;1377,42;15650,47;16024,68;11508,87;16224,26;7427,23;13500,73;12135,16;10874,54;104723,36
"312670 Francisco Sá";-;198,54;3097,87;110291,73;93967,55;89914,32;88094,62;93982,66;86878,37;86572,54;98491,87;751490,07
"312675 Franciscópolis";230,70;57,74;187,10;16679,46;22190,20;17158,01;12238,37;19906,19;17555,47;16213,02;18335,34;140751,60
"312680 Frei Gaspar";-;-;248,62;20563,03;29851,57;34488,60;39602,67;15565,24;22681,51;17245,12;19732,99;199979,35
"312690 Frei Inocêncio";-;-;820,21;47934,23;47840,02;56095,77;48726,46;53134,90;51217,22;52605,87;43592,82;401967,50
"312695 Frei Lagonegro";-;-;509,83;9159,31;7511,72;6855,69;8842,01;14121,73;8439,88;9482,76;4439,34;69362,27
"312700 Fronteira";-;-;3185,02;38914,21;39209,71;37207,35;35478,88;41872,07;33539,53;31123,14;37092,71;297622,62
"312705 Fronteira dos Vales";-;-;43,19;16234,14;13617,25;19832,64;14205,19;14577,28;7587,58;12063,05;10312,13;108472,45
"312707 Fruta de Leite";-;-;408,28;17777,48;22043,87;10429,75;9915,23;8426,46;16937,95;10424,72;13115,29;109479,03
"312710 Frutal";6123,77;7841,06;15918,22;324576,30;326459,21;510609,10;236798,10;233298,95;255997,01;238901,01;253940,35;2410463,08
"312720 Funilândia";-;935,98;9506,99;13636,03;13446,16;14078,07;10866,80;24388,82;12378,15;11295,87;9139,27;119672,14
"312730 Galiléia";-;62,92;338,78;37544,12;32406,31;42822,87;46422,76;43498,62;55532,41;49293,72;48607,16;356529,67
"312733 Gameleiras";-;10,00;149,58;52222,23;21341,26;29018,16;20690,00;16867,17;22763,05;33787,14;35416,98;232265,57
"312735 Glaucilândia";-;-;295,98;22707,66;20829,07;16679,80;17382,69;16120,47;19108,75;20126,09;18528,93;151779,44
"312737 Goiabeira";-;-;430,18;16916,85;21052,22;14315,15;10885,48;10507,67;14858,71;18472,43;20899,29;128337,98
"312738 Goianá";112,96;236,71;382,61;22223,29;19541,74;18999,66;18556,74;22171,56;12953,96;14953,25;17091,15;147223,63
"312740 Gonçalves";277,26;-;24,00;37253,18;31473,15;30508,58;25733,48;20583,67;23744,17;26056,78;32997,70;228651,97
"312750 Gonzaga";-;-;2634,07;23969,44;22201,63;20618,71;19709,38;20558,80;13088,33;20247,75;17508,09;160536,20
"312760 Gouveia";550,08;319,72;7523,60;41917,84;50275,60;55222,82;33866,55;31564,95;33451,54;45499,44;45511,40;345703,54
"312770 Governador Valadares";793,04;112732,72;222746,31;2451073,98;2537380,91;2271957,85;1631020,95;1917480,95;1897754,02;2229286,85;2306940,68;17579168,26
"312780 Grão Mogol";-;-;1190,96;52637,41;42823,57;47493,68;54827,20;54244,70;40221,18;49284,25;27182,28;369905,23
"312790 Grupiara";-;-;27,50;9840,78;11167,70;9328,97;5754,15;11760,18;11324,87;16707,03;12561,27;88472,45
"312800 Guanhães";756,47;686,05;16282,90;240706,61;137507,17;117228,62;128413,39;88338,76;99725,52;114417,41;100719,61;1044782,51
"312810 Guapé";-;-;101,57;61804,03;58262,88;65224,83;59722,44;59985,45;60841,16;56258,85;47147,31;469348,52
"312820 Guaraciaba";-;10,00;197,35;63038,74;45208,20;50157,68;38753,90;42547,86;42230,15;40737,92;47756,49;370638,29
"312825 Guaraciama";-;-;622,21;31454,50;32800,13;26376,74;16702,03;23874,61;19315,32;22946,95;15381,97;189474,46
