 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350440 Avanhandava";-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;1;-;1;-;1;2;-;-;-;-;3;4;-;1;1;-;1;2;2;2;2;-;-;-;-;-;2;1;1;1;-;-;-;1;1;1;3;2;2;-;1;1;-;-;-;1;-;-;-;-;2;3;2;1;1;-;-;-;2;-;1;1;-;-;1;2;-;2;1;1;2;-;1;-;1;1;-;1;2;-;1;1;1;1;-;-;2;-;2;-;3;1;2;-;-;88
"350450 Avaré";-;-;-;-;-;-;1;12;5;6;4;8;10;6;4;10;9;5;10;10;3;8;11;6;8;4;6;4;12;6;5;5;6;7;1;12;7;2;5;3;6;6;5;10;8;7;11;5;6;6;5;9;12;10;6;14;9;4;2;4;8;7;7;11;9;7;2;5;5;8;5;7;19;5;7;9;6;3;6;7;9;7;4;12;4;9;2;10;8;6;8;8;9;4;6;7;5;8;3;11;10;7;6;1;3;6;3;6;9;5;-;705
"350460 Bady Bassitt";-;-;-;-;-;1;2;1;2;1;-;3;1;1;1;1;-;1;-;-;-;1;2;1;-;3;3;2;1;3;1;-;-;1;1;2;2;3;3;2;-;3;1;2;1;3;-;-;4;-;4;-;1;1;-;3;1;1;-;1;-;1;-;1;2;1;-;-;1;2;8;5;2;1;2;1;1;1;2;2;-;3;1;4;3;3;1;3;3;-;-;2;4;2;3;1;1;1;2;3;3;4;-;2;1;2;-;-;-;-;2;159
"350470 Balbinos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;2;1;-;2;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;30
"350480 Bálsamo";-;-;-;-;-;-;-;1;1;-;2;1;-;2;2;-;-;2;1;1;-;-;1;-;1;-;-;2;3;1;-;2;2;2;1;-;-;2;1;1;1;-;-;1;1;1;1;-;1;-;2;1;2;3;1;3;-;-;-;1;2;1;-;-;-;1;-;-;-;1;-;-;1;1;1;2;-;1;4;-;-;-;-;1;1;-;-;1;1;1;1;-;-;-;1;1;-;3;-;1;4;-;1;3;1;2;-;1;-;1;-;91
"350490 Bananal";-;-;-;-;-;-;-;2;-;-;-;1;2;-;2;-;1;-;-;-;2;-;-;1;-;1;-;3;-;-;-;-;-;-;-;1;1;2;-;-;-;-;1;1;1;3;2;-;2;2;-;1;2;-;-;-;-;-;-;-;1;2;1;-;-;-;1;-;1;-;-;-;-;-;2;-;2;2;-;1;2;-;1;2;1;-;1;2;1;-;-;3;1;1;1;1;-;1;1;3;2;1;1;1;1;1;-;2;-;-;-;78
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;1;-;-;1;1;1;-;-;1;-;-;-;1;1;-;1;1;1;1;-;-;-;-;-;-;1;1;1;1;2;-;1;3;-;-;-;1;1;1;1;-;-;-;-;1;-;-;-;-;-;2;-;1;-;1;-;-;-;-;2;-;-;1;1;2;-;1;2;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;48
"350510 Barbosa";-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;1;-;-;1;1;-;2;-;1;-;-;2;1;-;-;1;-;-;3;3;1;-;-;-;1;-;1;-;-;1;1;1;1;1;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;2;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;45
"350520 Bariri";-;-;-;-;-;2;-;2;6;3;2;5;2;2;4;7;5;8;3;7;3;5;2;2;-;5;2;5;6;3;1;1;2;-;5;1;2;2;3;2;2;5;2;2;4;5;3;4;5;4;5;9;6;7;6;7;7;6;7;5;10;9;3;8;7;6;7;2;3;8;7;3;2;6;2;2;4;2;1;2;-;1;4;3;1;4;6;2;3;1;3;8;6;5;2;-;4;4;9;6;5;4;3;3;3;12;8;2;3;4;4;428
"350530 Barra Bonita";-;-;-;-;-;-;4;8;4;2;7;3;6;3;2;2;5;3;2;-;1;4;5;5;4;2;2;3;2;4;4;4;2;3;5;2;5;3;4;1;4;4;4;1;-;3;3;3;3;1;4;5;3;8;4;4;6;2;5;7;2;6;5;7;7;4;5;5;4;5;4;2;6;5;5;3;7;7;6;3;4;2;6;1;6;6;5;10;5;7;6;6;7;2;7;7;8;3;7;1;2;2;1;7;2;8;4;4;5;3;1;433
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;1;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;3;-;-;-;-;2;-;1;-;-;1;-;-;-;2;-;1;2;1;-;-;-;-;2;-;38
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;2;-;1;1;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;1;2;1;-;-;1;-;2;-;-;-;-;-;-;1;-;1;-;1;1;1;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;2;1;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;42
"350550 Barretos";-;-;-;-;-;7;8;13;9;12;12;16;11;8;21;23;13;15;10;8;15;9;16;22;10;12;8;5;10;6;14;14;12;10;14;11;6;10;12;10;17;11;11;15;10;8;6;8;8;8;9;17;10;10;8;12;5;12;13;18;11;11;5;5;7;14;15;7;13;12;11;8;8;13;14;8;14;8;16;11;8;9;13;12;14;13;9;15;13;9;23;11;9;10;14;18;14;15;10;16;12;16;5;14;13;17;16;16;11;14;-;1228
"350560 Barrinha";-;-;-;-;-;1;2;1;2;3;6;4;4;4;6;2;5;1;4;1;-;3;1;4;3;2;3;-;2;3;2;2;3;1;5;6;3;2;-;5;5;3;5;4;5;5;4;3;2;2;3;5;2;3;3;4;7;-;1;1;4;4;5;-;5;2;2;4;2;2;5;7;1;3;1;4;4;-;5;5;3;3;3;3;1;4;4;7;2;3;2;3;5;1;3;3;1;1;3;2;2;4;2;2;4;5;6;4;2;-;1;317
"350570 Barueri";-;3;-;-;7;8;13;18;20;20;22;31;24;23;17;28;37;29;32;34;22;27;30;23;19;25;25;20;31;24;24;31;22;26;25;26;24;24;17;27;25;20;29;21;12;38;19;30;23;31;24;26;33;18;33;29;21;33;22;20;31;32;36;20;20;27;26;18;25;20;39;19;21;17;33;29;25;22;16;24;33;40;32;30;22;26;24;35;34;23;35;22;34;44;24;40;26;33;28;30;31;28;28;29;23;40;21;38;30;31;29;2808
"350580 Bastos";-;-;-;-;-;-;-;2;10;4;5;5;6;4;3;6;15;11;10;6;7;9;8;4;1;3;4;2;4;9;4;1;4;6;11;8;6;6;4;6;6;5;6;5;2;9;6;6;6;1;4;5;8;8;5;2;-;5;4;4;8;3;5;5;-;3;8;8;10;17;5;10;8;9;17;33;28;24;18;10;3;14;21;22;14;6;5;8;10;5;7;6;5;7;8;6;7;8;12;14;10;5;11;2;4;12;5;1;1;7;3;769
"350590 Batatais";-;-;-;-;-;-;-;3;4;7;10;7;6;1;9;8;15;8;12;4;8;7;12;6;7;6;9;6;8;10;10;7;11;6;8;7;18;12;5;8;10;8;6;3;3;1;10;12;10;6;4;7;3;7;7;11;11;6;9;3;5;10;10;-;7;11;7;11;11;10;3;11;9;11;9;9;7;5;6;4;5;6;7;10;10;7;12;12;4;5;6;4;8;10;8;6;12;8;8;11;5;3;6;5;6;9;3;5;4;4;4;771
"350600 Bauru";-;-;-;-;-;5;9;18;22;28;23;29;19;17;26;13;15;14;9;7;10;14;11;11;9;8;13;10;16;15;10;15;25;19;23;22;16;20;28;22;31;10;26;31;27;23;32;30;29;19;21;21;24;22;24;15;15;16;19;20;12;17;21;21;29;32;34;28;18;25;24;31;38;33;28;34;34;36;31;28;28;31;34;25;31;33;28;29;38;34;40;24;31;34;47;37;47;39;38;42;50;36;37;28;35;44;37;43;45;56;23;2704
"350610 Bebedouro";-;-;-;-;1;3;3;1;5;1;3;7;4;10;6;7;1;3;6;4;9;7;7;7;6;3;2;7;5;7;2;3;3;3;2;8;8;7;7;7;7;4;8;6;4;11;10;12;7;6;10;12;7;7;7;7;7;4;5;8;2;5;3;6;1;3;4;4;6;2;4;6;4;3;6;4;2;2;2;2;2;4;4;6;1;-;6;4;4;3;5;5;-;1;-;4;2;9;1;7;4;5;4;6;5;5;1;3;4;-;2;502
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;2;1;-;1;1;2;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;1;1;-;-;1;-;-;1;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;1;2;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;2;1;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;2;-;-;1;3;2;-;-;46
"350630 Bernardino de Campos";-;-;-;-;-;-;-;5;3;2;3;5;4;-;2;1;1;4;1;1;1;1;3;2;-;1;1;-;3;2;4;2;2;2;2;-;2;2;2;4;3;1;1;-;-;-;1;5;3;5;1;5;3;2;-;1;1;1;1;4;3;3;3;3;1;1;3;2;1;1;2;1;2;-;-;2;2;1;2;1;1;2;1;3;-;4;4;1;5;-;3;4;4;3;2;2;-;-;3;6;2;1;2;1;-;2;3;1;-;1;1;202
"350635 Bertioga";-;-;-;-;-;1;2;2;4;5;5;2;4;4;10;6;3;5;-;3;5;7;11;9;9;11;6;2;6;3;3;7;5;8;4;2;10;3;8;4;2;3;2;7;2;7;5;4;7;5;5;8;2;6;7;5;8;7;5;12;5;3;9;8;5;6;7;3;6;9;6;11;5;4;6;7;5;8;3;7;7;6;7;9;2;5;6;9;3;8;4;3;6;2;5;4;4;5;3;2;3;5;1;9;4;6;6;5;5;4;2;561
"350640 Bilac";-;-;-;-;-;-;1;-;3;-;1;1;2;-;1;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;1;1;1;-;1;-;5;4;1;1;2;2;-;3;-;1;1;1;-;1;1;-;1;-;1;3;-;1;2;-;1;-;-;1;-;2;-;-;-;-;1;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;-;2;-;68
"350650 Birigui";-;-;-;-;-;1;5;5;6;7;6;7;8;8;4;3;7;5;10;5;4;9;12;9;14;11;14;7;9;5;6;6;8;6;11;13;8;6;6;7;8;9;6;5;12;12;11;14;9;12;12;7;5;18;10;8;12;10;12;11;8;12;8;14;10;4;5;7;16;12;13;8;8;8;11;15;11;6;5;9;11;6;8;8;11;7;10;8;10;9;7;8;6;9;13;10;13;11;9;10;7;6;4;9;18;6;6;6;9;6;8;920
"350660 Biritiba-Mirim";-;-;-;-;1;-;1;2;2;4;3;4;2;1;-;2;3;1;-;4;3;3;3;3;2;2;4;2;2;1;1;5;2;3;1;2;3;3;2;1;2;-;1;1;1;4;4;2;1;2;-;3;1;3;3;3;5;5;7;5;3;3;6;1;2;3;2;5;-;3;5;4;1;3;1;3;2;7;6;2;6;5;4;1;9;7;2;1;3;5;-;2;4;-;4;2;2;1;3;5;4;2;2;5;4;1;-;5;2;3;2;289
"350670 Boa Esperança do Sul";-;-;-;3;1;1;2;-;1;3;3;3;2;1;2;2;5;2;-;2;-;2;1;6;-;3;3;2;-;1;-;2;-;1;-;4;4;3;6;2;-;-;-;1;-;2;-;4;2;3;-;-;2;1;1;-;-;2;1;-;-;1;3;1;1;-;-;-;1;1;1;-;-;2;1;2;1;1;1;3;1;4;1;1;-;2;1;2;3;2;-;1;1;2;-;5;1;4;1;3;1;2;-;1;-;1;-;3;3;1;-;159
"350680 Bocaina";-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;1;-;1;4;1;1;1;1;1;3;1;2;2;-;2;1;-;-;2;1;1;2;1;1;-;2;1;-;-;-;1;2;2;1;2;2;-;1;1;1;1;2;4;2;2;1;4;-;1;2;3;2;4;4;4;-;3;-;3;2;-;1;2;1;-;3;1;4;-;-;2;1;1;6;1;-;3;1;-;-;2;3;6;4;2;3;3;1;1;5;3;5;1;2;-;162
"350690 Bofete";-;-;-;-;-;-;-;2;-;1;-;1;3;2;-;-;1;-;-;-;-;1;1;-;-;2;-;1;2;-;1;2;2;1;2;2;1;2;1;1;-;-;2;4;2;3;3;1;-;-;-;-;1;4;-;1;3;1;3;1;2;5;-;-;-;-;-;1;2;2;3;3;2;1;1;1;2;2;1;-;3;1;-;8;1;3;1;3;1;1;1;-;2;2;3;1;1;4;-;1;1;5;-;1;1;3;2;2;1;3;-;145
"350700 Boituva";-;-;-;-;-;3;3;1;3;5;-;3;3;4;-;3;4;3;2;4;4;4;3;1;3;4;3;1;2;4;1;1;4;4;2;2;-;3;3;3;1;5;2;2;6;2;3;3;7;1;1;3;4;5;6;4;4;3;5;6;1;1;-;1;3;5;1;2;2;2;3;-;2;2;3;3;2;2;2;3;3;3;6;5;3;1;4;2;2;4;5;3;6;5;3;4;1;-;2;3;4;6;6;5;3;3;8;9;6;46;16;383
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;2;2;1;1;3;2;1;1;2;3;-;4;3;4;5;1;2;4;3;2;3;2;1;3;2;2;-;2;2;4;2;1;2;-;3;-;3;3;2;3;5;-;1;2;1;5;-;2;1;1;3;-;4;1;1;-;2;2;1;-;1;1;1;2;1;-;2;3;2;-;3;4;1;4;-;4;2;-;1;-;3;2;-;2;4;3;2;2;3;6;3;5;5;3;1;3;2;2;3;3;3;4;3;4;3;224
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;1;1;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;25
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;10
"350730 Boracéia";-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;2;2;2;2;1;-;-;1;-;2;2;2;2;-;-;-;-;1;-;-;-;1;-;1;1;2;1;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;1;-;-;-;-;2;1;1;-;1;1;1;2;-;-;1;1;-;-;-;-;-;-;-;2;-;1;-;2;-;-;3;1;1;-;-;1;-;-;1;1;-;1;1;1;-;1;2;1;1;1;-;68
"350740 Borborema";-;-;1;-;-;-;-;3;2;2;-;-;1;-;-;2;3;3;1;2;1;1;3;2;1;3;3;3;3;2;3;3;2;1;2;2;3;1;-;1;1;-;2;4;2;1;1;1;3;-;3;1;1;2;3;2;1;4;6;3;1;3;3;2;4;2;4;1;1;-;4;2;5;1;1;2;1;2;-;5;-;2;2;4;3;3;5;3;2;1;1;2;2;1;-;3;1;-;1;7;2;1;-;2;2;2;2;2;3;4;-;208
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;2;-;-;-;1;2;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;1;1;27
"350750 Botucatu";-;-;-;-;-;1;7;18;19;21;35;20;11;6;16;7;21;11;17;21;12;14;11;13;18;17;15;15;12;14;12;10;15;15;17;11;16;15;21;11;13;15;8;16;13;26;26;50;33;28;27;30;18;17;22;23;20;22;33;56;37;31;18;19;31;25;19;29;25;30;44;43;47;28;31;25;24;35;28;22;25;33;64;70;53;45;39;25;29;30;38;36;25;30;55;70;50;44;33;29;20;28;35;36;46;53;37;28;24;27;16;2775
"350760 Bragança Paulista";-;-;-;-;-;1;12;3;12;21;19;17;11;12;15;24;13;18;9;12;10;14;21;17;13;9;12;10;12;14;10;14;9;8;12;14;20;18;10;16;10;18;10;11;10;14;16;16;21;12;15;9;16;18;11;12;21;16;14;19;23;15;16;12;14;20;14;15;12;11;19;24;9;18;11;15;15;17;12;17;10;22;17;23;19;20;11;15;19;18;11;14;15;21;11;17;21;13;21;16;13;10;17;13;20;21;17;13;8;13;9;1548
"350770 Braúna";-;-;-;-;-;-;-;2;1;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;2;-;-;3;1;-;2;-;1;2;2;1;3;3;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;1;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;-;52
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;2;-;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;2;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;25
"350780 Brodowski";-;-;-;-;-;-;1;3;2;1;3;5;2;4;2;4;2;3;4;4;4;-;3;4;4;3;2;4;4;3;3;1;6;2;2;5;2;2;3;3;5;2;3;-;2;3;2;5;3;3;1;4;6;3;4;2;1;2;3;1;5;1;4;4;4;4;5;3;1;2;3;2;2;4;2;3;2;3;3;1;2;4;6;3;5;2;-;3;5;4;3;3;5;2;2;5;4;2;3;2;2;3;5;8;5;3;5;3;2;2;-;316
"350790 Brotas";-;-;-;-;-;-;-;1;1;-;1;2;2;2;-;-;3;-;-;-;1;1;2;1;1;1;1;2;-;3;2;3;2;3;-;-;2;3;1;5;-;1;-;2;1;3;-;2;2;1;2;3;2;1;1;3;1;2;1;4;1;-;4;-;1;2;-;-;3;10;5;3;1;-;3;3;2;6;1;3;1;-;4;3;2;3;-;1;3;1;1;4;6;3;3;6;2;5;1;4;2;-;2;3;-;3;2;2;3;1;1;198
"350800 Buri";-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;3;2;-;1;2;-;2;3;-;2;-;4;3;1;2;3;-;1;2;1;-;3;2;4;5;1;2;-;3;1;1;1;2;2;-;-;3;1;1;1;-;1;-;5;1;4;-;2;2;1;1;1;2;-;1;-;-;1;-;1;-;1;3;2;-;-;-;1;2;-;-;1;2;3;2;3;3;5;4;2;1;1;3;1;1;1;1;4;1;2;4;2;1;-;1;-;150
"350810 Buritama";-;-;-;-;-;-;1;2;1;1;1;-;4;2;2;-;2;3;1;-;1;1;2;-;-;1;4;-;1;3;1;4;-;-;1;1;1;-;-;-;2;3;1;-;-;2;2;1;1;2;2;1;6;1;2;2;2;-;3;1;-;1;-;2;2;1;-;2;1;3;2;1;1;6;1;1;1;4;3;1;-;2;1;2;2;3;-;-;-;3;2;1;-;6;3;3;1;2;1;3;2;-;1;2;1;1;2;1;1;-;1;155
"350820 Buritizal";-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;1;-;1;1;1;-;-;-;-;-;1;-;-;4;2;-;-;1;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"350830 Cabrália Paulista";-;-;-;-;-;-;1;-;-;-;1;-;-;5;1;1;1;3;1;-;1;1;1;-;1;1;2;4;1;1;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;2;-;1;-;1;1;-;1;-;-;-;1;1;-;1;-;-;1;-;-;-;-;2;-;1;-;1;1;-;1;-;1;1;1;-;1;2;-;59
"350840 Cabreúva";-;-;-;-;-;-;2;2;7;4;7;4;-;-;1;4;5;1;3;1;1;2;2;5;-;6;2;3;-;5;4;-;3;1;2;5;2;3;4;1;3;3;5;-;4;7;-;4;4;4;3;5;4;1;5;3;4;6;4;3;4;3;2;1;3;2;5;3;1;5;2;2;3;5;2;3;3;-;9;6;3;3;2;2;3;2;4;5;5;3;5;4;2;1;1;4;1;3;4;4;3;11;4;2;2;3;3;2;4;2;3;328
"350850 Caçapava";-;-;-;-;-;-;1;4;3;7;5;7;5;7;4;4;2;4;1;2;-;7;6;6;1;5;5;4;5;6;3;4;4;3;3;6;3;8;4;11;3;3;7;3;3;6;3;6;7;5;5;6;1;2;6;6;3;6;5;5;2;7;7;11;6;9;3;4;7;8;5;7;6;7;9;7;5;4;7;7;1;9;13;9;4;5;7;9;2;5;6;4;6;3;12;8;5;5;13;6;2;4;4;6;9;8;6;6;8;3;3;560
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;2;1;1;1;2;3;2;4;1;2;-;1;-;2;-;2;2;-;-;2;1;1;3;2;2;3;2;2;1;4;-;1;5;-;-;2;1;3;1;1;-;1;-;-;-;1;2;-;-;1;-;-;-;-;2;1;-;1;-;2;1;1;-;-;2;4;1;5;3;1;4;1;2;1;1;1;-;3;1;1;-;3;1;6;1;2;4;8;2;1;2;4;7;4;6;2;3;4;3;2;2;2;4;3;183
"350870 Caconde";-;-;-;-;-;-;2;-;-;2;1;2;3;2;3;2;1;4;-;2;-;-;1;4;4;6;4;3;3;4;-;1;1;-;-;6;4;3;-;2;4;2;2;5;-;-;2;5;2;1;-;2;8;1;-;-;1;1;-;2;-;-;1;-;1;-;-;-;-;1;-;-;2;2;1;-;2;2;2;2;5;-;-;2;2;5;2;6;1;3;3;1;1;1;3;1;-;2;2;1;3;6;3;3;4;1;-;6;2;4;-;197
"350880 Cafelândia";-;-;-;-;-;-;1;-;4;1;-;-;4;2;-;1;-;5;1;-;-;-;2;-;1;2;1;-;-;1;-;-;1;-;-;-;-;1;-;1;-;1;1;1;-;2;1;-;2;1;-;3;2;1;-;-;-;-;-;-;3;-;-;1;-;-;1;1;-;3;3;1;1;-;-;1;-;-;1;-;3;1;1;-;1;-;1;-;-;-;-;-;2;5;2;-;-;2;3;4;2;2;4;-;-;1;-;1;1;2;-;98
"350890 Caiabu";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;2;-;1;2;-;-;1;-;1;1;-;-;-;1;2;-;1;-;-;1;-;1;1;-;1;-;-;-;1;1;2;3;-;-;-;-;-;-;-;2;2;1;-;1;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;3;-;-;1;1;1;-;1;-;-;2;-;2;-;1;-;-;-;-;-;1;-;-;1;-;2;1;-;-;-;54
"350900 Caieiras";-;-;-;1;1;-;2;3;2;1;3;2;3;4;5;4;2;2;1;2;7;8;4;7;6;2;3;6;3;5;3;3;10;6;8;9;1;2;5;9;4;5;6;5;3;5;4;1;1;2;2;4;4;1;3;7;2;1;6;5;3;3;3;1;3;7;2;3;3;5;3;4;2;4;2;4;7;3;3;2;5;5;4;7;4;2;6;3;6;7;6;2;3;7;5;7;4;7;2;2;4;4;4;8;4;8;8;8;3;2;5;435
"350910 Caiuá";-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;1;-;-;-;-;-;-;2;2;1;2;-;1;-;-;-;1;1;-;2;-;-;2;3;-;1;-;2;-;-;-;-;-;1;-;-;1;-;-;1;2;1;-;4;-;-;-;-;-;1;2;-;1;2;-;1;-;-;2;1;1;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;3;2;2;-;1;-;1;-;1;-;-;1;-;1;-;63
"350920 Cajamar";-;-;-;-;-;2;2;2;2;9;3;3;5;9;7;6;6;10;5;3;4;3;6;5;6;5;1;5;10;7;2;4;4;1;3;7;4;6;3;3;3;8;4;1;1;2;5;3;4;4;4;3;6;5;4;3;3;5;8;4;5;-;6;1;2;3;7;2;4;4;7;8;3;5;4;1;5;4;3;6;7;5;3;4;5;3;9;8;9;3;9;8;10;6;6;1;3;2;3;1;1;1;5;7;3;4;3;8;20;9;2;491
"350925 Cajati";-;-;-;-;-;-;4;4;3;4;2;1;4;3;1;1;2;2;2;-;-;3;2;2;5;2;3;3;3;2;1;1;4;2;4;2;2;2;1;-;1;1;2;1;1;3;1;-;2;2;3;2;1;1;5;1;2;1;1;3;1;4;1;2;1;-;1;5;1;3;2;1;-;3;2;2;1;-;3;1;3;-;3;2;2;2;1;1;2;2;3;2;1;1;1;2;2;2;1;-;1;-;1;1;2;1;1;2;-;2;1;190
