 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"110032 São Miguel do Guaporé";-;-;1355,92;73800,18;49519,78;91233,14;81871,23;83757,41;82025,42;71260,55;82592,61;91194,33;94846,52;91954,19;92380,87;116662,95;125873,41;90788,59;98518,41;90925,20;100372,22;84713,61;106247,44;72335,85;86558,53;75850,86;46083,89;2082723,11
"110150 Seringueiras";-;791,59;85,77;30300,95;19706,88;29329,39;38664,57;31679,10;26219,33;30937,96;33414,01;37662,13;32245,82;46231,08;36854,36;30273,00;56027,67;39033,59;25563,11;27896,44;34375,76;19760,54;25325,39;39669,00;33195,59;39590,90;30105,89;794939,82
"110155 Teixeirópolis";-;-;-;12108,01;15093,48;18608,57;16242,76;31150,88;17738,10;11329,36;9886,75;9560,64;13237,64;21093,76;21326,30;13298,86;15245,76;18226,36;23341,23;24906,72;24170,27;26304,28;21000,09;17766,89;19941,97;23541,96;14116,81;439237,45
"110160 Theobroma";-;136,41;4701,24;46260,04;44612,85;61403,11;68572,38;65869,16;60143,05;51635,20;57921,69;58560,79;61135,78;53957,28;65803,77;72354,32;54840,31;35023,04;48198,36;43515,89;54724,52;52568,32;49862,99;55941,90;44286,67;43369,16;33428,97;1288827,20
"110170 Urupá";-;-;230,47;49184,07;50118,88;60115,02;51630,34;67368,20;59626,84;68485,33;69639,25;52639,95;60054,71;56577,76;66998,32;74813,58;73290,69;39675,20;47494,15;60187,05;53368,58;45547,67;57027,67;62260,84;61409,06;49189,13;47150,25;1384083,01
"110175 Vale do Anari";-;-;-;31946,05;26972,51;36278,53;28265,95;32514,20;26922,49;27649,36;30531,66;26348,93;37961,81;34158,00;38240,77;29794,99;42464,43;32083,90;23054,97;27918,43;33331,57;33404,76;42666,07;29605,42;41666,14;31435,56;20635,98;765852,48
"110180 Vale do Paraíso";-;-;-;27321,01;25459,85;32999,20;28289,37;25193,98;20088,58;40548,90;32340,60;21693,68;36040,66;40087,55;31714,09;39916,63;55493,25;30597,34;29606,01;34080,87;34865,62;33364,30;42651,25;37264,63;27240,03;20015,29;16705,22;763577,91
"110030 Vilhena";-;1314,99;6061,08;567389,94;454424,43;474648,19;462945,93;459146,97;449341,50;500564,09;545800,34;475109,89;499820,19;454173,52;546766,49;582017,38;638415,96;428381,21;415857,25;503049,26;489357,24;521201,10;522070,19;508767,71;556412,86;581767,45;790985,62;12435790,78
"110000 Município ignorado - RO";-;-;-;-;27,50;216,70;14748,00;1119,94;433,14;811,30;79,00;11,00;457,50;1610,00;4948,50;-;915,00;27,50;2680,00;2277,50;389,01;375,00;27,50;527,50;89,00;1189,69;3285,44;36245,72
"120001 Acrelândia";-;45,00;-;22467,73;22684,01;14162,61;27737,63;18045,09;25133,54;16004,00;20677,59;19964,22;18822,63;17750,25;19087,64;23890,71;18281,03;18660,76;22321,06;22233,90;37676,59;25007,34;36922,86;27682,36;46907,17;27177,76;24546,04;573889,52
