 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"352900 Marília";102,74;1030,89;9830,91;1526855,30;1434719,05;1555728,40;1513107,77;1603530,94;1528850,54;1514095,04;1634012,90;1534609,68;1741026,87;2768449,60;1651910,71;1622181,90;1585426,84;1720548,19;1612741,24;1616121,08;1827862,17;1701459,57;1688843,58;1671616,04;1813698,20;1849331,45;1696694,48;40424386,08
"352910 Marinópolis";-;7,30;327,50;18479,48;13305,07;15187,94;16114,14;18303,70;23265,68;20312,35;19568,84;17292,05;26151,72;25530,40;27774,68;22709,30;23367,98;25989,41;17430,10;25498,31;34919,42;23948,74;26820,78;18667,12;20510,59;28233,80;21201,69;530918,09
"352920 Martinópolis";-;72,16;4907,77;196808,75;183146,87;185456,23;172931,32;173964,95;154109,01;153427,60;140914,59;188925,78;203483,43;192168,18;185491,25;191074,36;190335,12;177087,30;174053,09;193730,47;174769,63;191072,14;187770,80;189274,49;189288,47;189559,47;158392,11;4342215,34
"352930 Matão";18,00;1274,75;12653,24;431590,63;457092,14;547681,53;488496,69;527552,85;481237,22;487775,43;546191,91;499578,48;571488,25;563367,32;498514,51;514062,88;509933,91;493919,33;520476,20;725407,33;557502,64;525800,59;518365,67;519385,92;527644,62;502310,09;479558,90;12508881,03
"352940 Mauá";3559,79;26329,01;163336,47;1556622,13;1476773,10;1531872,60;1630968,46;1653628,82;1545472,19;1480783,03;1616114,01;1480922,89;1648171,29;1575825,18;1514363,37;1479714,38;1514580,30;1396690,56;1519326,11;1593308,87;1491758,36;1565211,13;1604595,89;1586619,40;1610370,48;1605883,91;1495199,90;37368001,63
"352950 Mendonça";627,19;571,25;1156,66;65866,65;61684,43;58567,40;65830,03;55806,08;67103,38;60950,41;74223,30;68786,67;76879,55;61058,84;54218,62;64180,86;68888,14;77182,38;61400,73;76797,24;56480,16;58455,57;70273,74;67687,50;77190,18;61876,15;64589,60;1578332,71
"352960 Meridiano";378,31;143,13;1000,65;48223,85;49327,96;46468,75;47599,87;53570,40;52711,08;36559,14;45585,67;50115,80;38217,49;43809,28;52535,26;39052,71;40076,02;41183,88;43034,41;52827,26;50924,06;52019,87;47775,65;49387,92;60548,19;41486,40;59103,16;1143666,17
"352965 Mesópolis";-;-;750,00;19811,21;19277,05;22594,30;20951,70;26127,07;26036,61;27088,63;28556,79;26731,52;30667,50;29645,51;26949,58;24561,39;28517,97;35556,82;19937,88;23300,25;22626,65;21984,98;32172,02;28756,28;32219,48;24593,64;23489,93;622904,76
"352970 Miguelópolis";-;-;1014,31;134999,33;116238,13;127976,11;111709,09;120926,94;124726,93;128034,98;143806,63;127499,81;133455,25;133087,12;136756,02;116763,19;113782,95;146955,63;127122,23;145015,34;136962,37;145493,52;153285,01;134337,30;133096,37;125918,27;106747,71;3125710,54
"352980 Mineiros do Tietê";-;642,00;6854,34;82409,27;67167,18;75636,27;72336,55;77901,71;75021,94;82081,24;83844,34;84851,02;77041,49;82711,52;74592,37;69563,85;71282,31;66376,98;71685,48;75663,84;68524,03;76004,36;60185,71;62467,29;79146,62;74115,30;52374,05;1770481,06
"353000 Mira Estrela";38,60;45,00;79,00;30521,40;29094,78;34172,65;30759,21;32397,67;25736,28;40452,22;35481,47;27437,65;36508,45;32176,74;38063,31;34935,07;37694,73;33469,85;36150,61;43987,28;37560,04;38090,72;38800,24;31383,04;41764,56;29163,30;39015,97;834979,84
"352990 Miracatu";-;2224,00;3356,64;98804,20;102157,24;104676,76;105477,86;92841,90;100068,37;97659,09;97060,12;97491,10;112094,52;104179,27;108557,01;106249,20;84368,47;101581,07;117335,55;127312,11;123486,40;123438,14;119060,18;124164,53;118066,68;110160,95;105002,18;2586873,54
"353010 Mirandópolis";52,33;203,12;576,16;173052,57;169583,11;183698,18;198629,81;168663,13;189791,09;170366,78;165952,90;177649,85;220744,82;215744,44;206090,49;182800,96;165097,62;287980,82;188032,32;227271,93;221683,65;235428,45;207014,30;193489,10;222204,86;158810,89;209910,12;4740523,80
"353020 Mirante do Paranapanema";-;-;1137,26;104612,28;91498,44;90327,37;85788,05;108233,26;79494,73;81525,22;98698,92;104448,13;113257,78;112923,91;104062,13;131636,97;108726,81;118904,72;131001,86;162497,42;119319,33;136425,07;149432,77;113830,89;120159,42;131594,56;108939,45;2708476,75
"353030 Mirassol";5044,71;4651,98;11777,50;444119,39;411754,33;497313,39;440289,59;474005,24;448700,82;571681,70;517007,70;450520,06;507368,43;647857,43;543671,61;425092,94;507697,64;432370,16;421799,26;478685,67;361985,83;411118,02;461963,98;477972,57;464681,56;492765,93;439737,53;11351634,97
"353040 Mirassolândia";598,15;525,41;471,84;59043,30;60033,38;47010,41;46885,34;50256,63;61701,81;55671,45;60560,20;45259,74;47000,49;54996,49;49129,18;49677,10;56763,88;49945,99;57510,00;51591,39;44993,07;65455,88;52896,90;62491,32;47967,99;47389,65;50748,46;1276575,45
"353050 Mococa";394,67;281,37;8568,57;452862,21;426772,59;539542,73;461445,15;483195,23;484218,78;483579,09;540255,20;536122,21;459128,46;481884,71;457746,70;488593,25;453400,50;495103,32;465238,73;495706,82;469666,29;507376,10;528102,85;526102,02;538111,58;513354,68;465620,27;11762374,08
"353060 Mogi das Cruzes";1970,54;8065,90;158611,29;1924020,55;1817715,17;2039257,42;1975769,10;2017604,57;1956716,33;1807996,38;2101457,49;2004738,94;2064580,82;1888125,12;1882160,59;1959474,03;1956478,92;2018881,95;2089629,44;2060447,61;1894927,69;2001950,76;2108509,20;2298711,58;2317416,89;2172299,20;1986222,16;48513739,64
"353070 Mogi Guaçu";2700,49;4179,97;17461,49;811522,33;772438,12;786088,97;803622,39;842264,56;807778,62;759671,88;881555,71;848739,11;1050776,63;758140,11;924909,93;840705,67;854488,34;747553,85;835857,56;838778,10;798980,40;1119202,09;857616,35;901349,87;948931,65;940892,05;786320,92;20542527,16
"353080 Mogi Mirim";1900,00;2275,35;10425,89;514224,90;498908,54;556135,93;565825,69;605297,99;567007,15;485507,99;579789,14;557948,17;566488,02;538900,71;555502,24;533109,70;500948,85;473825,50;478550,70;497478,98;448812,48;478554,49;524017,09;494287,33;505861,44;512244,25;462037,26;12515865,78
"353090 Mombuca";-;-;-;22223,83;23881,28;22131,39;21948,86;27799,08;26544,29;24970,05;21407,07;23580,76;20866,40;16822,99;23557,01;23323,55;21348,71;22604,90;25855,31;28351,46;23735,72;18213,75;27212,32;35479,45;20468,33;22591,46;22596,75;567514,72
"353100 Monções";-;-;142,44;26979,17;14448,85;36992,34;28302,07;25132,71;26101,86;23392,83;30795,62;21799,90;25870,32;19823,58;21732,32;27818,73;19863,90;23073,04;29749,34;29053,30;30275,69;33195,19;41473,64;36688,04;30082,13;19239,92;21350,58;643377,51
"353110 Mongaguá";625,16;1171,77;13656,38;276069,28;276652,93;311365,02;312994,99;334340,01;294368,25;328286,56;325192,62;285224,35;315153,21;290979,30;269279,38;283650,69;268441,65;269859,18;281687,16;304876,35;283229,75;310715,09;313667,90;327370,25;315482,98;299310,10;287014,27;7180664,58
"353120 Monte Alegre do Sul";-;-;3088,00;62782,42;46061,58;55753,08;58823,75;55613,09;58420,05;59157,53;48105,94;40893,58;42943,77;53144,02;43789,66;47380,97;57675,75;45378,11;39814,78;40338,52;115725,76;128210,98;124573,24;105368,78;111835,56;124604,66;107645,22;1677128,80
"353130 Monte Alto";-;1579,67;6034,59;290023,54;256807,98;283041,22;310920,37;308317,39;278063,32;273681,69;338945,52;364777,59;306504,37;289361,33;235920,88;291937,00;286183,23;257174,90;273950,26;280739,06;255630,55;308627,44;305178,74;299806,86;598442,46;246525,79;254181,83;7202357,58
"353140 Monte Aprazível";1012,26;1312,46;3381,05;167741,56;159974,61;167948,92;160716,16;140955,76;146863,94;172737,94;176430,96;169103,38;178151,53;191447,24;179518,95;188974,43;162178,87;174560,11;174711,91;187589,55;177801,95;172943,67;205556,29;360688,70;304609,54;283334,70;182285,88;4592532,32
"353150 Monte Azul Paulista";-;45,83;2628,17;115831,36;118548,27;116921,17;140700,09;155291,02;132176,90;141820,02;135780,33;132404,55;137095,68;120634,35;131175,34;129456,88;135179,04;120059,60;138052,55;141394,71;140432,67;155463,60;137879,49;132712,81;146236,99;139270,68;149440,65;3246632,75
"353160 Monte Castelo";-;-;511,41;36262,64;25769,96;29825,50;29732,02;26250,83;38456,69;39735,61;38474,09;39439,73;31073,65;28811,37;25784,51;24450,21;30095,93;34917,71;29589,15;25088,30;29547,55;31123,72;24004,65;28132,34;25997,14;35543,68;27185,01;735803,40
"353180 Monte Mor";-;3454,75;28576,56;278790,27;260174,89;290736,01;269708,28;278457,14;268683,10;298429,40;316996,71;307203,41;306795,06;296537,85;271799,48;306312,00;270170,56;279742,75;267814,13;285387,09;286666,72;271631,32;311742,65;274994,78;273769,61;260264,10;237285,81;6802124,43
"353170 Monteiro Lobato";-;208,89;2790,78;17447,54;20125,10;26991,15;25293,65;16487,42;21814,58;19499,45;23357,45;28085,26;24662,98;29121,79;30264,34;23146,92;20628,82;17168,70;23787,78;18572,74;15025,48;16480,95;22680,18;16804,05;24237,88;25839,45;33810,62;544333,95
"353190 Morro Agudo";18,55;45,00;5347,66;277565,95;231699,12;231892,09;242517,73;224229,06;195404,14;218451,10;216801,40;214915,90;278340,87;220236,63;204612,25;193574,25;226547,09;213978,52;239586,99;243756,13;214401,08;221608,92;243780,42;232676,72;265878,00;213823,16;239917,08;5511605,81
"353200 Morungaba";-;157,80;531,85;67517,12;62737,28;75678,48;69161,19;64114,03;65208,29;67409,82;70761,48;64544,18;71454,48;59738,55;72587,71;69236,01;63431,65;49087,85;52531,30;63302,16;43915,09;59133,48;54696,16;56604,55;62303,20;61263,45;51130,95;1498238,11
"353205 Motuca";-;-;-;15174,41;16577,65;13853,76;27751,45;19501,48;24653,39;18862,86;25877,90;22465,90;31513,58;25404,50;21028,84;22283,88;21589,94;19405,22;25912,07;32233,41;22200,83;27731,01;28911,37;28708,43;25763,00;20122,42;25121,03;562648,33
"353210 Murutinga do Sul";-;-;446,27;31178,79;35992,78;26640,27;23033,88;22957,10;28549,11;24099,70;47696,34;28729,77;40616,95;45751,31;27534,10;28270,66;26136,88;42408,49;30527,84;49249,67;31083,72;59868,35;36767,18;27353,88;39696,63;29565,86;21438,89;805594,42
"353215 Nantes";-;-;512,53;20481,68;20103,38;19086,28;20632,00;26781,85;20127,89;19146,44;28275,12;31392,08;30685,68;30108,47;23125,70;23889,53;23113,91;22061,51;21888,45;27286,05;17657,36;19851,54;14362,45;12749,62;24019,48;14656,35;22082,44;534077,79
"353220 Narandiba";136,41;-;1902,50;30724,76;35866,78;36666,12;28211,23;26820,27;27335,58;23392,89;29806,23;27585,24;36921,49;31900,98;32285,69;29286,13;30234,76;33210,18;30221,83;33851,27;42149,73;34402,58;45273,62;38773,38;52457,12;43980,39;44078,55;827475,71
"353230 Natividade da Serra";-;-;1007,06;34148,63;39705,01;39844,81;40135,49;38246,98;33127,37;37737,85;39736,63;41282,80;37495,84;37328,98;28048,16;40992,07;31404,60;35017,27;31540,15;43040,38;39229,04;39752,51;37386,76;33296,23;40510,62;36382,98;40552,06;896950,28
"353240 Nazaré Paulista";-;638,65;3458,84;107770,95;120701,64;106843,04;90429,57;104190,37;87177,86;100538,53;97265,21;90904,24;97833,33;91436,10;114783,78;107962,50;86490,56;101217,32;107634,42;109052,84;103250,17;98323,88;100858,33;96836,05;112893,01;90198,07;92976,97;2421666,23
"353250 Neves Paulista";831,58;697,09;1877,14;88487,97;90916,15;87513,58;83890,07;82369,68;98721,95;213019,73;79350,08;114482,41;621674,64;94389,68;90086,69;99038,75;103860,71;90012,32;108306,22;89447,73;81314,24;96095,92;95546,82;109310,21;128817,80;102687,85;96202,88;2948949,89
"353260 Nhandeara";-;-;1625,54;138647,10;119262,02;161197,34;121558,16;121171,63;143979,48;200899,83;145039,36;116495,62;132035,24;165938,11;131864,55;143282,38;107078,44;110511,52;121792,47;129268,42;114986,60;118979,85;136329,62;126782,00;112239,66;102601,39;94936,39;3118502,72
"353270 Nipoã";323,83;349,48;245,94;39619,12;26838,72;32264,31;27396,68;26767,41;24683,10;30158,39;34784,14;30648,40;84134,58;76726,03;28235,12;165304,69;36797,49;41403,31;49062,50;48221,17;51623,54;56734,91;45438,29;54054,97;46746,87;46539,33;45963,43;1151065,75
"353280 Nova Aliança";1686,05;1701,54;2664,32;68784,10;68331,36;70057,94;77537,45;68217,45;56096,38;51556,21;60791,29;52003,67;55522,14;59400,73;50904,90;71493,27;62152,60;61623,27;55251,10;67491,35;69110,10;68577,92;76481,46;79000,71;66533,81;67994,63;60931,55;1551897,30
"353282 Nova Campina";87,51;153,31;3250,41;54761,95;56972,00;64288,97;54615,43;55663,04;59121,33;58364,90;61750,65;61993,65;63676,55;58475,39;62824,57;54844,80;53084,69;54822,97;49881,92;47437,95;50764,02;41972,60;49735,45;56105,41;53420,41;55231,51;51398,63;1334700,02
"353284 Nova Canaã Paulista";6,97;45,00;0,90;41027,69;29924,42;33896,67;22297,90;25965,00;29162,74;40870,07;30594,38;28469,11;29783,77;39046,32;40147,11;37994,37;37908,69;31591,08;34081,60;37151,84;25314,64;30678,66;41990,75;37419,59;38186,49;39795,25;28014,81;811365,82
"353286 Nova Castilho";-;-;45,83;4891,09;3392,24;7558,33;5211,69;5706,36;6560,20;5302,07;5573,73;7479,62;6752,14;13511,48;6267,46;2105,21;4740,37;7327,51;6771,89;4127,48;3916,93;2441,18;8867,94;6779,10;2758,29;3050,57;3549,07;134687,78
"353290 Nova Europa";-;-;1596,19;48648,10;50207,41;63564,04;59069,20;53846,55;55881,66;45948,44;53811,66;54707,24;62928,51;51576,95;47086,04;48494,74;51188,26;51998,76;59042,35;65141,29;57738,45;55335,43;57583,25;49981,54;53492,60;56240,94;40170,12;1295279,72
"353300 Nova Granada";1256,57;1436,54;2460,87;169999,62;162737,87;198997,34;174125,70;196096,31;209404,31;200029,40;218137,29;192064,49;170939,42;209151,07;172519,65;175304,14;177804,11;136924,44;156187,01;172109,75;154778,27;182228,53;181632,72;158611,67;172265,18;152284,77;141591,14;4241078,18
"353310 Nova Guataporanga";-;-;-;18350,21;13614,57;15033,65;16745,11;19027,26;22546,94;20225,23;17456,01;16087,94;17274,22;14666,50;12809,16;13211,74;19481,44;18549,56;16210,48;13788,80;12827,10;14803,34;15609,23;10563,87;10247,72;11521,54;9608,83;370260,45
"353320 Nova Independência";-;24,00;576,00;32294,26;30303,73;40061,54;19697,19;21116,75;20184,04;18949,19;22286,84;21399,10;27554,52;38984,68;38033,25;13722,90;19014,93;36053,13;26978,59;26895,81;27183,11;25389,50;19182,26;29146,64;22291,50;15390,85;15024,52;607738,83
"353330 Nova Luzitânia";-;-;112,04;48065,55;23525,41;55060,26;28637,52;43439,72;36839,58;15530,77;43157,06;211056,47;517953,21;43338,72;31937,64;44379,78;41573,61;33676,17;43249,08;45534,27;216010,72;56707,20;57667,41;112754,93;106578,49;645078,96;174889,92;2676754,49
"353340 Nova Odessa";1100,00;4938,50;6924,63;316465,63;254992,88;268594,50;240535,45;267158,39;307037,88;240128,36;246159,42;282352,68;262822,77;214655,81;353269,27;221034,97;191761,75;231641,28;307333,25;294542,34;242270,18;238727,74;279507,51;240530,18;286943,97;266355,19;196687,59;6264472,12
"353325 Novais";-;-;3183,90;18971,45;23364,15;21158,71;23813,03;23262,24;20669,43;26310,82;25575,10;35297,16;30980,37;75049,46;31832,52;27548,35;31308,85;26727,66;42807,17;24432,99;26257,82;24568,01;33627,78;41866,14;31896,03;45350,03;32624,84;748484,01
"353350 Novo Horizonte";56,40;229,44;1186,58;283062,64;277275,49;250753,73;295969,55;304243,38;337209,63;309446,23;300773,28;302497,37;292206,99;287043,46;287581,59;332946,02;273823,70;299148,93;259638,78;313128,33;276197,99;289432,66;284125,16;273939,35;258817,38;254657,37;263653,82;6909045,25
"353360 Nuporanga";-;-;45,00;47384,16;45296,95;48622,27;53580,83;50324,02;49916,84;50697,11;41437,60;46113,65;50151,91;45563,85;44055,67;43493,16;35593,27;34507,96;42571,69;47140,64;35110,56;39369,19;33306,14;41047,48;46696,59;39223,06;39254,04;1050503,64
"353370 Ocauçu";-;-;306,74;29457,50;26312,48;33315,23;25579,16;30460,36;23666,78;20846,25;31071,69;36032,04;31208,01;31415,35;24743,22;20278,82;20521,61;27243,78;19315,77;25574,31;21273,82;25690,15;25792,96;28039,54;35640,68;50620,64;24178,43;668585,32
"353380 Óleo";-;-;-;23938,03;22196,58;25847,06;20212,51;23945,95;26110,35;24033,50;23770,76;28724,42;28184,06;19887,74;19414,66;21069,45;18235,40;15833,64;19220,16;20052,50;20010,14;22414,59;20992,13;17167,36;18727,10;30022,47;19579,35;529589,91
"353390 Olímpia";39,60;115,86;4181,95;398539,47;360377,03;374238,55;339757,06;373880,62;349802,34;364619,78;456046,45;411377,10;443781,00;334555,19;365666,12;423992,14;352859,68;352636,12;385468,85;392567,23;401302,64;398302,84;412553,26;480797,69;399241,13;360445,24;347574,02;9284718,96
"353400 Onda Verde";433,75;238,72;1299,51;47004,60;37058,52;45602,22;46744,58;49967,26;50908,67;59528,96;59960,01;61946,00;50894,11;38513,06;28870,78;48746,30;42284,44;44596,47;55090,31;57835,05;47349,02;65232,06;47630,41;49913,52;52260,38;36289,26;36794,32;1162992,29
"353410 Oriente";-;-;480,00;54958,24;45344,73;53791,90;44177,02;54749,75;44665,11;44405,18;52234,33;51931,09;53853,62;71863,58;48234,63;42808,19;53154,45;51013,51;49665,37;57527,55;61545,32;54270,75;64602,32;58399,28;64698,74;67487,88;64570,61;1310433,15
"353420 Orindiúva";55,50;561,77;952,29;55998,23;63137,30;88177,73;83088,06;85482,58;70481,13;59678,98;59095,83;66562,40;67305,79;56142,43;59802,16;65430,39;69874,40;54933,70;55761,77;72999,10;72353,77;55332,62;70757,67;63042,70;66290,11;57306,64;62958,74;1583563,79
"353430 Orlândia";-;41,82;2671,11;249260,36;202166,72;224724,19;273802,77;221064,45;188877,46;217144,97;244102,99;235754,83;223463,74;246695,52;230887,34;194901,95;214259,85;213146,01;201580,63;226699,64;208008,04;211405,21;220208,26;207445,93;214061,17;200158,61;190603,74;5263137,31
"353440 Osasco";9966,58;48595,17;396231,36;3027178,53;2853398,25;3405258,56;3329225,31;3326035,92;3219461,84;3258078,99;3282055,78;3232965,09;3353441,06;3230253,67;3183676,91;3039461,80;2882414,90;2915135,26;3185814,67;3285547,95;3229450,67;3611198,91;3534899,00;3192555,89;3767739,93;3621265,11;3198950,11;78620257,22
"353450 Oscar Bressane";-;-;39,94;24573,92;21124,16;25345,04;28735,40;29343,62;27939,65;26416,20;24105,92;25384,37;29459,00;33700,85;29271,32;25832,00;27446,74;29239,19;22754,58;30939,27;25565,82;25683,24;26929,09;49038,03;26078,09;24369,85;27206,98;666522,27
"353460 Osvaldo Cruz";1,52;978,50;5129,33;236009,42;234208,91;214529,95;223955,41;209625,14;219292,96;209904,43;244629,79;220962,54;260490,24;238697,48;234002,17;197556,66;236765,68;231401,16;249808,80;266334,72;220704,24;283679,53;244866,79;218510,62;214387,23;218197,51;205319,32;5539950,05
"353470 Ourinhos";605,19;490,86;16843,57;695093,50;709848,08;729390,17;704423,87;705195,35;675811,33;695584,82;730358,29;712416,52;740829,09;763180,34;751320,44;740707,65;724279,32;707918,39;756777,40;764347,65;762307,23;740178,46;779675,12;753522,04;800120,85;718306,71;757049,39;17636581,63
"353480 Ouro Verde";-;-;4798,63;83307,18;83971,14;90212,41;81844,01;92125,25;91047,95;90632,79;91316,20;89371,17;99439,66;97360,58;91235,18;79402,67;84331,09;83544,22;87706,00;91703,99;79704,59;89016,57;91644,74;73734,65;81350,44;68930,95;72824,96;2070557,02
"353475 Ouroeste";-;90,00;227,33;92374,27;90341,63;126047,69;123245,99;105376,52;118524,24;124605,02;138440,12;103528,59;117663,25;135567,83;99936,71;106694,51;120639,74;123486,52;115783,02;125761,64;105522,01;123091,33;116696,26;113542,75;97473,67;99209,48;115645,08;2739515,20
"353490 Pacaembu";800,00;360,00;1387,30;81548,69;77371,26;78164,21;74814,30;78595,68;71956,08;71698,28;71528,49;71123,74;80751,22;69830,64;86413,71;81626,80;68894,61;66019,66;71609,58;60641,95;74391,93;62380,48;67633,14;62723,79;75690,42;74805,05;65967,03;1748728,04
"353500 Palestina";701,88;373,89;662,48;123236,67;110686,38;119604,32;108993,71;124247,09;127678,77;141265,80;160916,45;143588,42;138535,69;130384,85;145140,32;112668,03;127430,28;113331,92;120563,01;139013,82;123195,41;127520,20;128784,73;114654,78;117820,74;114008,86;107985,27;3022993,77
"353510 Palmares Paulista";-;-;708,16;57019,43;59865,54;61865,28;65988,76;69325,71;59939,59;68508,87;66041,28;68102,56;68694,91;65068,36;71251,45;83977,25;96942,89;74120,08;81417,77;78727,86;97894,94;81781,20;84304,66;87337,66;77220,62;78399,05;91222,50;1795726,38
"353520 Palmeira d'Oeste";184,19;188,34;1208,93;78857,50;87505,30;84788,52;88075,94;89695,79;84373,00;79985,37;85353,77;85931,12;91111,83;98173,34;70323,81;86231,52;74370,93;80880,09;129011,09;80379,93;82553,05;110127,93;83155,99;89668,89;103755,95;95497,96;96628,38;2138018,46
"353530 Palmital";97,44;12,27;3851,41;136633,16;116084,93;150774,54;141697,48;146978,39;151766,65;141119,01;149176,14;153506,49;156737,55;144984,77;162256,86;139492,25;158345,05;143550,80;139962,52;150742,86;128788,20;152515,58;160952,65;136861,00;142332,93;128911,66;117610,40;3455742,99
"353540 Panorama";483,16;-;1202,34;107503,16;103231,07;129749,22;117008,04;106336,87;134454,35;106158,09;123488,58;109313,10;130165,85;119894,23;107024,63;105235,03;93453,18;91462,34;66220,17;88757,32;98555,95;97108,39;100387,98;109586,81;124616,78;124802,91;123707,41;2619906,96
"353550 Paraguaçu Paulista";160,00;576,00;5626,25;203073,52;217970,33;240129,17;247651,69;249605,96;222288,34;220301,86;252452,82;224036,36;247983,01;259289,43;243051,94;248714,56;208157,64;206612,34;229765,81;249250,42;232336,20;274009,00;251079,27;219206,00;234485,42;223774,05;231222,80;5642810,19
"353560 Paraibuna";40,00;581,45;3892,77;116710,36;111062,59;130104,20;134414,84;114205,23;111261,17;86133,80;96035,31;105191,27;113206,69;113356,03;111135,70;103661,49;97042,32;92466,83;90352,43;87889,51;82668,57;127415,56;101581,60;101523,43;103139,05;103364,68;112089,63;2550526,51
"353570 Paraíso";-;45,00;1125,00;45638,68;38467,13;38301,75;39632,44;49693,11;50010,90;29128,27;33547,64;47774,20;55191,98;52976,50;48086,48;47401,34;44817,97;43581,05;60147,45;50718,85;43580,35;57377,41;50422,73;53610,73;55048,70;38527,31;42349,16;1117202,13
"353580 Paranapanema";-;-;3305,30;92073,49;90310,88;95069,82;84382,28;102765,07;82307,13;75331,97;81878,25;79545,41;88167,89;73408,52;70815,02;76062,37;79467,56;80879,92;86999,59;127145,10;90715,66;96065,42;89414,59;81305,84;78803,63;83731,41;121219,27;2111171,39
"353590 Paranapuã";7,30;-;1257,60;33919,17;33666,96;45355,11;35621,41;35423,95;37352,73;36285,11;33384,65;30719,86;36088,67;37655,49;37644,91;30212,05;32256,50;27277,43;27441,99;31129,40;33652,49;42827,67;40678,15;36389,64;39983,90;33456,59;33727,38;843416,11
"353600 Parapuã";-;105,69;2776,62;54490,96;48210,99;50585,33;49517,49;68406,98;68448,37;53531,21;69644,65;72015,72;77381,62;88405,32;81195,46;58958,52;72162,39;63950,98;68015,35;60561,85;68196,74;61662,49;63142,60;72511,59;66354,42;78498,97;71025,44;1589757,75
"353610 Pardinho";-;-;-;31657,08;30673,00;37258,83;37662,08;37480,95;35547,97;35980,59;40364,12;49518,85;54682,31;56658,10;43137,15;51544,47;48329,38;46258,88;48396,22;44563,63;39440,20;42405,26;51984,31;52958,11;74211,85;68963,01;59170,77;1118847,12
"353620 Pariquera-Açu";335,50;73,42;3220,28;151344,08;145597,12;148242,07;125142,67;124950,55;125657,72;122656,65;131135,01;119307,85;145480,99;137588,51;129578,15;139958,20;132624,93;133929,57;124498,53;162290,45;138271,44;144991,09;126806,35;127423,23;124271,37;120802,83;109762,29;3195940,85
"353625 Parisi";-;-;677,98;30557,76;29553,74;24308,74;41979,33;31188,43;32210,18;25972,18;23621,00;20610,17;29679,32;26755,03;24877,53;29587,81;34504,87;23426,84;29039,48;47745,78;29042,92;29800,83;32888,83;36356,75;35184,07;35734,96;24551,28;729855,81
"353630 Patrocínio Paulista";-;-;750,00;96187,88;93457,16;91628,85;92075,65;106405,07;111022,34;96317,94;96538,29;94343,90;107387,18;95077,63;106783,15;90366,20;93675,33;98393,02;91898,72;100408,96;93141,26;90668,25;95028,23;100425,44;99529,49;96936,90;84537,68;2322984,52
"353640 Paulicéia";-;-;-;38623,10;48933,43;52348,02;45604,96;45216,66;52726,75;46204,28;51891,09;51725,31;59270,13;55633,98;51198,72;56191,98;58836,10;57921,16;42335,97;52610,13;34449,58;41662,54;45049,37;40610,92;41522,09;43750,05;45428,03;1159744,35
"353650 Paulínia";-;4574,58;76309,95;442738,06;434120,76;483140,96;486580,62;453962,25;443721,75;509561,99;515760,67;462148,26;468229,09;399015,99;378126,02;383225,16;353142,18;363892,73;357017,70;443185,28;373716,37;435269,10;476690,07;472473,98;463273,28;430426,88;405357,92;10515661,60
"353657 Paulistânia";-;-;537,78;14117,01;11868,95;19857,65;15450,60;18115,14;21812,35;17155,76;14905,48;14254,61;16492,18;21522,40;21708,97;10768,92;16195,35;18733,83;15189,84;17067,58;14243,77;23985,98;19997,79;20577,62;23102,63;25720,08;20427,51;433809,78
"353660 Paulo de Faria";13,94;954,87;702,13;49702,57;63562,12;69983,73;63641,60;66746,84;67062,88;78071,38;82236,67;70448,80;73170,31;73236,49;78314,58;69188,20;73070,94;77795,12;77579,95;86548,25;69217,07;84091,54;90321,65;101557,37;89552,89;90296,43;76391,90;1823460,22
"353670 Pederneiras";25,00;99,39;4797,34;310821,50;322527,17;362723,19;337362,28;339428,19;332683,20;310482,59;375574,12;357951,29;392650,11;380124,28;394290,11;317792,12;360574,42;388244,89;385399,16;367078,25;351254,18;424613,07;317590,51;347448,40;350906,46;357508,31;305328,84;8495278,37
"353680 Pedra Bela";17,74;301,50;1809,64;42793,94;35000,19;38520,03;42393,70;32228,69;32270,71;35714,73;38504,90;34102,30;36169,90;33560,55;38958,97;36158,71;32733,18;35588,80;38980,23;33410,83;36855,78;29551,03;31107,94;34583,77;44951,99;36536,91;27376,24;860182,90
"353690 Pedranópolis";-;585,00;454,00;37668,38;31009,27;39413,70;39206,75;36165,59;41394,91;37037,40;36016,46;44241,79;35562,89;34120,68;38677,89;31603,32;33882,57;33843,97;35011,54;42822,44;39100,95;41652,06;33134,09;45194,43;33587,18;32760,28;34301,92;888449,46
"353700 Pedregulho";-;-;437,30;78226,21;66158,54;97259,03;89436,51;109275,91;100185,71;99957,36;108384,86;107904,54;114061,89;104734,46;95468,99;105724,55;94163,36;106301,97;98136,30;94258,11;95573,55;99747,39;95581,14;95088,51;112960,73;95088,17;111937,70;2376052,79
